,After the Moment_Craft Spells
0,walk
1,night
2,you
3,kissed
4,me
5,felt
6,right
7,lights
8,followed
9,closely
10,behind
11,you
12,i
13,hold
14,till
15,morning
16,light
17,maybe
18,your
19,kiss
20,your
21,touch
22,makes
23,me
24,want
25,you
26,love
27,lights
28,followed
29,closely
30,behind
31,you
32,i
33,hold
34,till
35,morning
36,light
37,moment
38,you
39,moment
40,you
41,moment
42,you
43,moment
44,you
45,moment
46,you
47,moment
48,you
49,moment
50,you
51,moment
52,you
53,ran
54,night
55,you
56,held
57,me
58,felt
59,right
60,lights
61,went
62,straight
63,your
64,eyes
65,you
66,i
67,hold
68,till
69,morning
70,light
71,maybe
72,your
73,kiss
74,your
75,touch
76,makes
77,me
78,want
79,you
80,love
81,lights
82,followed
83,closely
84,behind
85,you
86,i
87,hold
88,till
89,morning
90,light
91,moment
92,you
93,moment
94,you
95,moment
96,you
97,moment
98,you
99,moment
100,you
101,moment
102,you
103,moment
104,you
105,moment
106,you
107,moment
108,you
109,moment
110,you
111,moment
112,you
113,moment
114,you
115,moment
116,you
117,moment
118,you
119,moment
120,you
121,moment
122,you
