,Dance Me to the End of Love_Leonard Cohen
0,instrumental
1,dance
2,me
3,your
4,beauty
5,burning
6,violin
7,dance
8,me
9,panic
10,'til
11,i'm
12,gathered
13,safely
14,lift
15,me
16,like
17,olive
18,branch
19,my
20,homeward
21,dove
22,dance
23,me
24,end
25,love
26,dance
27,me
28,end
29,love
30,oh
31,let
32,me
33,see
34,your
35,beauty
36,witnesses
37,gone
38,let
39,me
40,feel
41,you
42,moving
43,like
44,babylon
45,show
46,me
47,slowly
48,i
49,know
50,limits
51,oh
52,dance
53,me
54,end
55,love
56,dance
57,me
58,end
59,love
60,dance
61,me
62,wedding
63,oh
64,dance
65,me
66,dance
67,me
68,tenderly
69,dance
70,me
71,long
72,we're
73,us
74,beneath
75,love
76,we're
77,us
78,dance
79,me
80,end
81,love
82,dance
83,me
84,end
85,love
86,dance
87,me
88,children
89,asking
90,born
91,dance
92,me
93,curtains
94,kisses
95,outworn
96,raise
97,tent
98,shelter
99,though
100,every
101,thread
102,torn
103,dance
104,me
105,end
106,love
107,instrumental
108,dance
109,me
110,your
111,beauty
112,burning
113,violin
114,dance
115,me
116,panic
117,'til
118,i'm
119,gathered
120,safely
121,touch
122,me
123,your
124,naked
125,hand
126,touch
127,me
128,your
129,glove
130,dance
131,me
132,end
133,love
134,dance
135,me
136,end
137,love
138,dance
139,me
140,end
141,love
