,Better Together_Jack Johnson
0,combination
1,words
2,i
3,could
4,put
5,back
6,postcard
7,song
8,i
9,could
10,sing
11,i
12,try
13,your
14,heart
15,dreams
16,made
17,real
18,things
19,like
20,shoebox
21,photographs
22,sepiatoned
23,loving
24,love
25,answer
26,least
27,questions
28,my
29,heart
30,like
31,go
32,come
33,hard
34,always
35,easy
36,sometimes
37,life
38,deceiving
39,i'll
40,tell
41,you
42,one
43,thing
44,always
45,better
46,we're
47,together
48,mmm
49,always
50,better
51,we're
52,together
53,yeah
54,we'll
55,look
56,stars
57,we're
58,together
59,well
60,always
61,better
62,we're
63,together
64,yeah
65,always
66,better
67,we're
68,together
69,moments
70,might
71,find
72,way
73,my
74,dreams
75,tonight
76,i
77,know
78,they'll
79,gone
80,morning
81,light
82,sings
83,brings
84,new
85,things
86,tomorrow
87,night
88,you
89,see
90,they'll
91,gone
92,many
93,things
94,i
95,dreams
96,might
97,find
98,way
99,my
100,day
101,day
102,scene
103,i'd
104,impression
105,i
106,somewhere
107,two
108,me
109,you
110,many
111,things
112,got
113,places
114,got
115,we'll
116,sit
117,beneath
118,mango
119,tree
120,yeah
121,always
122,better
123,we're
124,together
125,mmm
126,we're
127,somewhere
128,together
129,well
130,always
131,better
132,we're
133,together
134,yeah
135,always
136,better
137,we're
138,together
139,i
140,believe
141,memories
142,look
143,pretty
144,i
145,sleep
146,i
147,wa
148,i
149,wake
150,you
151,look
152,pretty
153,sleeping
154,next
155,me
156,enough
157,time
158,song
159,i
160,could
161,sing
162,combination
163,words
164,i
165,could
166,say
167,i
168,still
169,tell
170,you
171,one
172,thing
173,we're
174,better
175,together
