,Please Forgive Me_David Gray
0,please
1,forgive
2,me
3,i
4,act
5,little
6,strange
7,i
8,know
9,i
10,feels
11,like
12,lightning
13,running
14,my
15,veins
16,everytime
17,i
18,look
19,you
20,everytime
21,i
22,look
23,you
24,help
25,me
26,my
27,words
28,falling
29,short
30,there's
31,much
32,i
33,want
34,say
35,want
36,tell
37,you
38,good
39,feels
40,you
41,look
42,me
43,way
44,you
45,look
46,me
47,way
48,throw
49,stone
50,watch
51,ripples
52,flow
53,moving
54,across
55,bay
56,like
57,stone
58,i
59,fall
60,your
61,eyes
62,deep
63,mystery
64,deep
65,mystery
66,i
67,got
68,half
69,mind
70,scream
71,loud
72,i
73,got
74,half
75,mind
76,die
77,i
78,ever
79,lose
80,you
81,girl
82,ever
83,say
84,goodbye
85,i
86,ever
87,lie
88,ever
89,say
90,goodbye
91,refrain
92,yeah
93,na
94,na
95,na
96,na
97,yeah
98,na
99,na
100,na
101,na
102,variant
103,please
104,forgive
105,me
106,i
107,act
108,little
109,strange
110,i
111,know
112,i
113,like
114,my
115,head
116,filled
117,lightning
118,girl
119,everytime
120,i
121,look
122,you
123,everytime
124,i
125,look
126,you
127,everytime
128,i
129,look
130,you
131,everytime
132,i
133,look
134,you
