,Fade Into You_Mazzy Star
0,i
1,want
2,hold
3,hand
4,inside
5,you
6,i
7,want
8,take
9,breath
10,that's
11,true
12,i
13,look
14,you
15,i
16,see
17,nothing
18,i
19,look
20,you
21,see
22,truth
23,you
24,live
25,your
26,life
27,you
28,go
29,shadows
30,you'll
31,come
32,apart
33,you'll
34,go
35,blind
36,kind
37,night
38,your
39,darkness
40,colors
41,your
42,eyes
43,what's
44,fade
45,you
46,strange
47,you
48,never
49,knew
50,fade
51,you
52,i
53,think
54,strange
55,you
56,never
57,knew
58,stranger's
59,light
60,comes
61,slowly
62,stranger's
63,heart
64,without
65,home
66,you
67,put
68,your
69,hands
70,your
71,head
72,smiles
73,cover
74,your
75,heart
76,fade
77,you
78,strange
79,you
80,never
81,knew
82,fade
83,you
84,i
85,think
86,strange
87,you
88,never
89,knew
90,fade
91,you
92,strange
93,you
94,never
95,knew
96,fade
97,you
98,i
99,think
100,strange
101,you
102,never
103,knew
104,i
105,think
106,strange
107,you
108,never
109,knew
