,Sweetest Thing_U2
0,hyyyyyyyyy
1,hyyy
2,hyyy
3,hmmmmmmmm
4,mmm
5,mmm
6,love
7,throws
8,like
9,rubber
10,ball
11,ohohoh
12,sweetest
13,thing
14,catch
15,break
16,fall
17,ohohoh
18,sweetest
19,thing
20,baby's
21,got
22,blue
23,skies
24,ahead
25,i'm
26,raincloud
27,know
28,wants
29,dry
30,kind
31,love
32,ohohoh
33,sweetest
34,thing
35,i'm
36,losin'
37,i'm
38,losin'
39,ain't
40,love
41,sweetest
42,thing
43,wanted
44,run
45,made
46,crawl
47,ohohoh
48,sweetest
49,thing
50,eternal
51,fire
52,turned
53,straw
54,oh
55,oh
56,sweetest
57,thing
58,know
59,got
60,black
61,eyes
62,burn
63,brightly
64,guess
65,blind
66,kind
67,love
68,ohohoh
69,sweetest
70,thing
71,i'm
72,losin'
73,whoa
74,oh
75,hyyyy
76,i'm
77,losin'
78,ain't
79,love
80,sweetest
81,thing
82,ain't
83,love
84,sweetest
85,thing
86,ain't
87,love
88,sweetest
89,thing
90,ain't
91,love
92,sweetest
93,thing
94,aaaaahhhhh
95,blue-eyed
96,boy
97,meets
98,brown-eyed
99,girl
100,ohohoh
101,sweetest
102,thing
103,sew
104,still
105,see
106,tear
107,ohohoh
108,sweetest
109,thing
110,baby's
111,got
112,blue
113,skies
114,ahead
115,i'm
116,rain-cloud
117,stormy
118,kind
119,love
120,ohohoh
121,sweetest
122,thing
123,outro
124,doo
125,doo
126,doo
127,doo
128,doo
129,doo
130,doo
131,doo
132,doo
133,doo
134,doo
135,doo
136,doo
137,doo
138,doo
139,doo
140,doo
141,doo
142,doo
143,doo
144,doo
145,doo
146,doo
147,doo
148,doo
149,doo
150,doo
151,doo
152,doo
153,doo
154,doo
155,doo
156,doo
157,doo
158,doo
159,doo
160,doo
161,doo
162,doo
163,doo
164,sweetest
165,thing
166,doo
167,doo
168,doo
169,doo
170,doo
171,doo
172,doo
173,doo
174,ohohoh
175,sweetest
176,thing
