,Can't Fight This Feeling_REO Speedwagon
0,oh
1,i
2,can't
3,fight
4,feeling
5,longer
6,yet
7,i'm
8,still
9,afraid
10,let
11,flow
12,started
13,friendship
14,grown
15,stronger
16,i
17,wish
18,i
19,strength
20,let
21,show
22,i
23,tell
24,myself
25,i
26,can't
27,hold
28,forever
29,i
30,said
31,reason
32,my
33,fear
34,'cause
35,i
36,feel
37,secure
38,we're
39,together
40,you
41,give
42,my
43,life
44,direction
45,you
46,make
47,everything
48,clear
49,prechorus
50,even
51,i
52,wander
53,i'm
54,keeping
55,you
56,sight
57,you're
58,candle
59,window
60,cold
61,dark
62,winter's
63,night
64,i'm
65,getting
66,closer
67,i
68,ever
69,thought
70,i
71,might
72,i
73,can't
74,fight
75,feeling
76,anymore
77,i've
78,forgotten
79,i
80,started
81,fighting
82,time
83,bring
84,ship
85,shore
86,throw
87,away
88,oars
89,forever
90,cause
91,i
92,can't
93,fight
94,feeling
95,anymore
96,i've
97,forgotten
98,i
99,started
100,fighting
101,i
102,crawl
103,upon
104,floor
105,come
106,crashing
107,your
108,door
109,baby
110,i
111,can't
112,fight
113,feeling
114,anymore
115,my
116,life
117,whirlwind
118,since
119,i
120,saw
121,you
122,i've
123,running
124,round
125,circles
126,my
127,mind
128,always
129,seems
130,i'm
131,following
132,you
133,girl
134,'cause
135,you
136,take
137,me
138,places
139,alone
140,i'd
141,never
142,find
143,prechorus
144,even
145,i
146,wander
147,i'm
148,keeping
149,you
150,sight
151,you're
152,candle
153,window
154,cold
155,dark
156,winter's
157,night
158,i'm
159,getting
160,closer
161,i
162,ever
163,thought
164,i
165,might
166,i
167,can't
168,fight
169,feeling
170,anymore
171,i've
172,forgotten
173,i
174,started
175,fighting
176,time
177,bring
178,ship
179,shore
180,throw
181,away
182,oars
183,forever
184,cause
185,i
186,can't
187,fight
188,feeling
189,anymore
190,i've
191,forgotten
192,i
193,started
194,fighting
195,i
196,crawl
197,upon
198,floor
199,come
200,crashing
201,your
202,door
203,baby
204,i
205,can't
206,fight
207,feeling
208,anymore
