,Fill Your Heart_David Bowie
0,fill
1,heart
2,love
3,today
4,play
5,game
6,time
7,things
8,happened
9,past
10,happened
11,mind
12,mind
13,oh
14,forget
15,mind
16,pre-chorus
17,free
18,yeah
19,writing's
20,wall
21,free
22,yeah
23,know
24,choose
25,remember
26,lovers
27,never
28,lose
29,'cause
30,free
31,thoughts
32,unpure
33,thoughts
34,unkind
35,gentleness
36,clears
37,soul
38,love
39,cleans
40,mind
41,makes
42,free
43,oh
44,happiness
45,happening
46,dragons
47,bled
48,gentleness
49,everywhere
50,fear's
51,head
52,head
53,fear
54,head
55,head
56,forget
57,head
58,pre-chorus
59,free
60,writing's
61,wall
62,free
63,yeah
64,know
65,choose
66,remember
67,lovers
68,never
69,lose
70,free
71,thoughts
72,unpure
73,thoughts
74,unkind
75,gentleness
76,clears
77,soul
78,love
79,clean
80,mind
81,make
82,free
83,outro
84,free-yeah
85,yeah-yeah-yeah
86,yeah-yeah-yeah
87,free-yeah
88,yeah-yeah-yeah
89,yeah-yeah-yeah
90,free-yeah
91,yeah-yeah-yeah
92,yeah-yeah-yeah
93,free-yeah
94,yeah-yeah-yeah
95,yeah-yeah-yeah
96,free-yeah
97,yeah-yeah-yeah
98,yeah-yeah-yeah
99,free-yeah
