,(Everything I Do) I Do It for You_Bryan Adams
0,look
1,my
2,eyes
3,you
4,see
5,you
6,mean
7,me
8,search
9,your
10,heart
11,search
12,your
13,soul
14,you
15,find
16,me
17,you'll
18,search
19,tell
20,me
21,worth
22,tryin'
23,you
24,can't
25,tell
26,me
27,worth
28,dyin'
29,you
30,know
31,true
32,everything
33,i
34,i
35,you
36,look
37,your
38,heart
39,you
40,find
41,there's
42,nothin'
43,hide
44,take
45,me
46,i
47,take
48,my
49,life
50,i
51,would
52,give
53,i
54,would
55,sacrifice
56,tell
57,me
58,worth
59,fightin'
60,i
61,can't
62,help
63,there's
64,nothin'
65,i
66,want
67,you
68,know
69,true
70,everything
71,i
72,i
73,you
74,there's
75,love
76,like
77,your
78,love
79,could
80,give
81,love
82,there's
83,nowhere
84,unless
85,you're
86,time
87,way
88,yeah
89,interlude
90,look
91,your
92,heart
93,babe
94,yeah
95,oh
96,yeah
97,oh
98,you
99,can't
100,tell
101,me
102,worth
103,tryin'
104,i
105,can't
106,help
107,there's
108,nothin'
109,i
110,want
111,yeah
112,i
113,would
114,fight
115,you
116,i'd
117,lie
118,you
119,walk
120,wire
121,you
122,yeah
123,i'd
124,die
125,you
126,you
127,know
128,true
129,everything
130,i
131,oh
132,i
133,you
134,everything
135,i
136,darling
137,we'll
138,see
139,see
140,oh
141,yeah
142,yeah
143,search
144,your
145,heart
146,search
147,your
148,soul
149,you
150,can't
151,tell
152,me
153,ain't
154,worth
155,dying
156,oh
157,yeah
158,i'll
159,yeah
160,oh
161,i'll
162,walk
163,wire
164,you
165,yeah
166,i
167,die
168,you
169,oh
170,yeah
171,time
172,i'm
173,going
174,way
175,way
176,yeah
177,take
178,me
179,hand
180,ow
