,9 Crimes_Damien Rice
0,lisa
1,hannigan
2,leave
3,waste
4,wrong
5,kind
6,place
7,thinking
8,pre-chorus
9,lisa
10,hannigan
11,wrong
12,time
13,somebody
14,new
15,small
16,crime
17,got
18,excuse
19,refrain
20,lisa
21,hannigan
22,right
23,yeah
24,give
25,gun
26,away
27,loaded
28,right
29,yeah
30,shoot
31,supposed
32,hold
33,right
34,yeah
35,give
36,gun
37,away
38,loaded
39,right
40,yeah
41,damien
42,rice
43,leave
44,waste
45,wrong
46,kind
47,place
48,cheating
49,pre-chorus
50,damien
51,rice
52,wrong
53,time
54,pulling
55,small
56,crime
57,got
58,excuse
59,refrain
60,damien
61,rice
62,&
63,lisa
64,hannigan
65,right
66,yeah
67,give
68,gun
69,away
70,loaded
71,right
72,right
73,yeah
74,shoot
75,supposed
76,hold
77,right
78,right
79,yeah
80,give
81,gun
82,away
83,loaded
84,right
85,right
86,right
87,refrain
88,damien
89,rice
90,&
91,lisa
92,hannigan
93,right
94,yeah
95,give
96,gun
97,away
98,loaded
99,right
100,right
101,yeah
102,shoot
103,supposed
104,hold
105,right
106,right
107,yeah
108,give
109,gun
110,away
111,loaded
112,right
113,right
114,right
115,refrain
116,damien
117,rice
118,&
119,lisa
120,hannigan
121,right
122,yeah
123,give
124,gun
125,away
126,loaded
127,right
128,yeah
129,shoot
130,supposed
131,hold
132,right
133,yeah
134,give
135,gun
136,away
137,loaded
138,right
139,right
140,right
