,One Thing_One Direction
0,liam
1,&
2,harry
3,i've
4,tried
5,playing
6,cool
7,i'm
8,looking
9,can't
10,ever
11,brave
12,'cause
13,make
14,heart
15,race
16,shot
17,sky
18,kryptonite
19,keep
20,making
21,weak
22,yeah
23,frozen
24,can't
25,breathe
26,pre-chorus
27,zayn
28,&
29,liam
30,something's
31,gotta
32,give
33,'cause
34,i'm
35,dying
36,make
37,see
38,need
39,'cause
40,got
41,one
42,thing
43,get
44,get
45,get
46,head
47,fall
48,arms
49,instead
50,know
51,need
52,one
53,thing
54,got
55,one
56,thing
57,niall
58,&
59,niall
60,zayn
61,i'm
62,climbing
63,walls
64,notice
65,i'm
66,going
67,mind
68,day
69,night
70,pre-chorus
71,louis
72,&
73,zayn
74,something's
75,gotta
76,give
77,'cause
78,i'm
79,dying
80,know
81,name
82,need
83,'cause
84,got
85,one
86,thing
87,&
88,harry
89,get
90,get
91,get
92,head
93,fall
94,arms
95,instead
96,know
97,need
98,one
99,thing
100,get
101,get
102,get
103,mind
104,come
105,come
106,life
107,know
108,need
109,one
110,thing
111,got
112,one
113,thing
114,whoa
115,whoa
116,whoa
117,got
118,one
119,thing
120,bridge
121,liam
122,get
123,get
124,get
125,head
126,fall
127,arms
128,instead
129,zayn
130,&
131,harry
132,get
133,get
134,get
135,head
136,get
137,get
138,get
139,head
140,fall
141,arms
142,instead
143,instead
144,know
145,need
146,one
147,thing
148,need
149,one
150,thing
151,get
152,get
153,get
154,mind
155,mind
156,come
157,come
158,life
159,know
160,need
161,one
162,thing
163,got
164,one
165,thing
