,Secret Garden_Bruce Springsteen
0,she'll
1,let
2,house
3,come
4,knocking
5,late
6,night
7,she'll
8,let
9,mouth
10,words
11,say
12,right
13,pay
14,price
15,she'll
16,let
17,deep
18,inside
19,there's
20,secret
21,garden
22,hides
23,she'll
24,let
25,car
26,go
27,driving
28,around
29,she'll
30,let
31,parts
32,bring
33,she'll
34,let
35,heart
36,got
37,hammer
38,vise
39,secret
40,garden
41,think
42,twice
43,bridge
44,gone
45,million
46,miles
47,far
48,would
49,get
50,place
51,can't
52,remember
53,can't
54,forget
55,she'll
56,lead
57,path
58,tenderness
59,air
60,she'll
61,let
62,come
63,far
64,enough
65,know
66,really
67,she'll
68,look
69,smile
70,eyes
71,say
72,got
73,secret
74,garden
75,everything
76,want
77,everything
78,need
79,always
80,stay
81,million
82,miles
83,away
