,The Morning_The Weeknd
0,i'm
1,fucking
2,gone
3,right
4,i'm
5,fucking
6,gone
7,right
8,listen
9,listen
10,morning
11,evening
12,complaints
13,tenants
14,got
15,walls
16,kicking
17,like
18,six
19,months
20,pregnant
21,drinking
22,alizé
23,cereal
24,breakfast
25,girls
26,calling
27,cabs
28,dawn
29,quarter
30,seven
31,sky's
32,getting
33,cold
34,we're
35,flying
36,north
37,rockin
38,city
39,like
40,sold
41,show
42,house
43,full
44,pros
45,specialize
46,ho'in
47,make
48,money
49,rain
50,taking
51,clothes
52,order
53,plane
54,tickets
55,cali
56,mission
57,visit
58,every
59,month
60,like
61,i'm
62,split
63,life
64,living
65,let
66,world
67,listen
68,hater's
69,caught
70,slipping
71,my
72,niggas
73,stay
74,tight
75,got
76,my
77,back
78,like
79,pippen
80,fast
81,life
82,gripping
83,yeah
84,still
85,tippin'
86,codeine
87,cups
88,paint
89,picture
90,vivid
91,fakes
92,try
93,mimic
94,get
95,girls
96,timid
97,behind
98,closed
99,doors
100,get
101,poles
102,rigid
103,money
104,money
105,motive
106,money
107,money
108,motive
109,money
110,money
111,she
112,folding
113,girl
114,put
115,work
116,girl
117,girl
118,put
119,work
120,girl
121,put
122,work
123,girl
124,girl
125,put
126,work
127,girl
128,put
129,work
130,push
131,limit
132,push
133,pain
134,i
135,push
136,pleasure
137,like
138,virgin
139,game
140,virgin
141,money
142,virgin
143,fame
144,my
145,chance
146,i'm
147,pray
148,i
149,flow
150,bottom
151,closer
152,top
153,higher
154,i
155,climb
156,harder
157,i'ma
158,drop
159,pussy
160,ass
161,niggas
162,tryna
163,hold
164,credit
165,i
166,tell
167,use
168,debit
169,watch
170,image
171,start
172,lessen
173,i
174,warn
175,like
176,discretion
177,niggas
178,testing
179,always
180,fucking
181,testing
182,niggas
183,testing
184,shit
185,i
186,got
187,straight
188,bar
189,hopping
190,music
191,ambiance
192,get
193,shit
194,popping
195,zombies
196,night
197,zombies
198,night
199,niggas
200,ain't
201,talking
202,hyping
203,crew
204,get
205,like
206,pockets
207,downtown
208,loving
209,moon
210,coming
211,place
212,find
213,bassheads
214,hot
215,women
216,money
217,money
218,motive
219,money
220,money
221,motive
222,money
223,money
224,she
225,folding
226,girl
227,put
228,work
229,girl
230,girl
231,put
232,work
233,girl
234,put
235,work
236,girl
237,girl
238,put
239,work
240,girl
241,put
242,work
243,better
244,slow
245,she'll
246,feel
247,morning
248,ain't
249,kind
250,girl
251,you'll
252,seeing
253,morning
254,damn
255,raw
256,ain't
257,nigga
258,her
259,rollin
260,ain't
261,nigga
262,she
263,holding
264,man
265,her
266,love
267,damn
268,foreign
269,look
270,money
271,money
272,motive
273,money
274,motive
275,money
276,money
277,she
278,folding
279,money
280,she
281,folding
282,girl
283,put
284,work
285,girl
286,girl
287,put
288,work
289,girl
290,put
291,work
292,girl
293,girl
294,put
295,work
296,money
297,money
298,motive
299,money
300,money
301,motive
302,money
303,money
304,she
305,folding
306,girl
307,put
308,work
309,girl
310,girl
311,put
312,work
313,girl
314,put
315,work
316,girl
317,girl
318,put
319,work
320,girl
321,put
322,work
