,Whatever It Takes_Lifehouse
0,strangled
1,smile
2,fell
3,face
4,kills
5,hurt
6,way
7,worst
8,part
9,even
10,know
11,there's
12,million
13,reasons
14,go
15,find
16,reason
17,stay
18,i'll
19,whatever
20,takes
21,turn
22,around
23,know
24,what's
25,stake
26,know
27,i've
28,let
29,give
30,chance
31,believe
32,change
33,i'll
34,keep
35,us
36,together
37,whatever
38,takes
39,said
40,"""if"
41,we're
42,going
43,make
44,work
45,gotta
46,let
47,inside
48,even
49,though
50,hurts
51,hide
52,broken
53,parts
54,need
55,"see"""
56,said
57,"""like"
58,way
59,gotta
60,gotta
61,love
62,ever
63,love
64,"me"""
65,i'll
66,whatever
67,takes
68,turn
69,around
70,know
71,what's
72,stake
73,know
74,i've
75,let
76,give
77,chance
78,give
79,break
80,i'll
81,keep
82,us
83,together
84,know
85,deserve
86,much
87,better
88,bridge
89,remember
90,time
91,told
92,way
93,felt
94,i'd
95,lost
96,without
97,never
98,find
99,let's
100,hold
101,onto
102,everything
103,else
104,start
105,start
106,i'll
107,whatever
108,takes
109,turn
110,around
111,know
112,what's
113,stake
114,know
115,i've
116,let
117,give
118,chance
119,believe
120,change
121,i'll
122,keep
123,us
124,together
125,whatever
126,takes
