,Luna_The Smashing Pumpkins
0,moonsongs
1,you
2,sing
3,your
4,babies
5,sunshine
6,you
7,bring
8,belongs
9,decides
10,who’s
11,crazy
12,rights
13,wrongs
14,others
15,cling
16,i’ll
17,sing
18,you
19,you
20,want
21,me
22,i’ll
23,give
24,you
25,it’s
26,chance
27,i’ll
28,take
29,it’s
30,chance
31,i’ll
32,break
33,i
34,go
35,along
36,i’m
37,lazy
38,i
39,go
40,along
41,you
42,moonsongs
43,you
44,sing
45,your
46,babies
47,songs
48,see
49,you
50,i’ll
51,hear
52,your
53,song
54,you
55,want
56,me
57,i’ll
58,sing
59,along
60,it’s
61,chance
62,i’ll
63,take
64,it’s
65,chance
66,i’ll
67,break
68,i’m
69,love
70,you
71,i’m
72,love
73,you
74,i’m
75,love
76,you
77,i’m
78,love
79,you
80,love
81,i’m
82,love
83,you
84,you
85,i’m
86,love
87,you
88,i’m
89,love
90,you
91,love
92,i’m
93,love
94,you
95,i’m
96,love
97,i’m
98,love
99,you
100,you
