,Smile_Avril Lavigne
0,know
1,i'm
2,crazy
3,bitch
4,want
5,feel
6,like
7,wanna
8,lose
9,control
10,oh
11,oh
12,really
13,give
14,shit
15,go
16,go
17,go
18,'cause
19,fucking
20,crazy
21,rock-n-roll
22,pre-chorus
23,said
24,"""hey"
25,what's
26,"name"""
27,took
28,one
29,look
30,i'm
31,yeah
32,said
33,"""hey"""
34,since
35,day
36,stole
37,heart
38,one
39,blame
40,yeah
41,that's
42,smile
43,since
44,everyday
45,everything
46,felt
47,right
48,turn
49,around
50,suddenly
51,need
52,reason
53,why-i-i-i
54,smi-i-ile
55,last
56,night
57,blacked
58,think
59,put
60,drink
61,remember
62,making
63,oh
64,oh
65,woke
66,new
67,tattoo
68,name
69,name
70,would
71,pre-chorus
72,said
73,"""hey"
74,hey
75,what's
76,name
77,what's
78,"name"""
79,took
80,one
81,look
82,i'm
83,yeah
84,said
85,"""hey"""
86,hey
87,since
88,day
89,since
90,day
91,stole
92,heart
93,one
94,blame
95,yeah
96,that's
97,smile
98,since
99,everyday
100,everything
101,felt
102,right
103,turn
104,around
105,suddenly
106,need
107,reason
108,why-i-i-i
109,smi-i-ile
110,bridge
111,know
112,i'm
113,crazy
114,bitch
115,want
116,feel
117,like
118,want
119,lose
120,control
121,know
122,i'm
123,crazy
124,bitch
125,want
126,feel
127,like
128,want
129,lose
130,control-o-ol
131,that's
132,smile
133,smile
134,since
135,everyday
136,everything
137,felt
138,right
139,turn
140,around
141,suddenly
142,need
143,reason
144,why-i-i-i
145,smi-i-ile
146,reason
147,reason
148,why-i-i-i
149,smi-i-ile
150,outro
151,reason
152,why-i-i-i
153,smi-i-ile
