,Five String Serenade_Mazzy Star
0,my
1,five
2,string
3,serenade
4,beneath
5,water
6,play
7,i'm
8,playing
9,you
10,could
11,raining
12,my
13,easel
14,i
15,drew
16,i
17,thinking
18,you
19,roof
20,my
21,head
22,came
23,my
24,five
25,string
26,serenade
