,Hospital Beds_Florence + the Machine
0,there's
1,nothing
2,lie
3,complain
4,bed
5,hospital
6,coming
7,going
8,asleep
9,awake
10,bed
11,hospital
12,prechorus
13,i've
14,got
15,one
16,friend
17,laying
18,across
19,me
20,i
21,choose
22,him
23,he
24,choose
25,me
26,chance
27,recovering
28,laying
29,hospitals
30,joy
31,misery
32,joy
33,misery
34,joy
35,misery
36,put
37,fire
38,boys
39,stop
40,stop
41,put
42,fire
43,us
44,put
45,fire
46,boys
47,stop
48,stop
49,put
50,fire
51,us
52,bring
53,your
54,buckets
55,dozen
56,bring
57,your
58,nieces
59,your
60,cousins
61,oh
62,put
63,fire
64,us
65,bring
66,your
67,buckets
68,dozen
69,bring
70,your
71,nieces
72,your
73,cousins
74,oh
75,put
76,fire
77,us
78,prechorus
79,i've
80,got
81,one
82,friend
83,laying
84,across
85,me
86,i
87,choose
88,him
89,he
90,choose
91,me
92,chance
93,recovering
94,laying
95,hospitals
96,joy
97,misery
98,joy
99,misery
100,joy
101,misery
