,Back to December_Taylor Swift
0,i'm
1,glad
2,you
3,made
4,time
5,see
6,me
7,how's
8,life
9,tell
10,me
11,how's
12,your
13,family
14,i
15,seen
16,you've
17,good
18,busier
19,ever
20,small
21,talk
22,work
23,weather
24,your
25,guard
26,i
27,know
28,prechorus
29,last
30,time
31,you
32,saw
33,me
34,still
35,burned
36,back
37,your
38,mind
39,you
40,gave
41,me
42,roses
43,i
44,left
45,die
46,me
47,swallowing
48,my
49,pride
50,standing
51,front
52,you
53,saying
54,i'm
55,sorry
56,night
57,i'd
58,go
59,back
60,december
61,time
62,turns
63,freedom
64,ain't
65,nothing
66,missing
67,you
68,wishing
69,i'd
70,realized
71,i
72,you
73,mine
74,postchorus
75,i'd
76,go
77,back
78,december
79,turn
80,around
81,make
82,alright
83,i
84,go
85,back
86,december
87,time
88,days
89,i
90,sleeping
91,staying
92,playing
93,back
94,myself
95,leaving
96,your
97,birthday
98,passed
99,i
100,call
101,i
102,think
103,summer
104,beautiful
105,times
106,i
107,watched
108,you
109,laughing
110,passenger
111,side
112,realized
113,i
114,loved
115,you
116,fall
117,prechorus
118,cold
119,came
120,dark
121,days
122,fear
123,crept
124,my
125,mind
126,you
127,gave
128,me
129,your
130,love
131,i
132,gave
133,you
134,goodbye
135,me
136,swallowing
137,my
138,pride
139,standing
140,front
141,you
142,saying
143,i'm
144,sorry
145,night
146,i'd
147,go
148,back
149,december
150,time
151,turns
152,freedom
153,ain't
154,nothing
155,missing
156,you
157,wishing
158,i'd
159,realized
160,i
161,you
162,mine
163,postchorus
164,i'd
165,go
166,back
167,december
168,turn
169,around
170,change
171,my
172,mind
173,i
174,go
175,back
176,december
177,time
178,i
179,miss
180,your
181,tan
182,skin
183,your
184,sweet
185,smile
186,good
187,me
188,right
189,you
190,held
191,me
192,your
193,arms
194,september
195,night
196,first
197,time
198,you
199,ever
200,saw
201,me
202,cry
203,maybe
204,wishful
205,thinking
206,probably
207,mindless
208,dreaming
209,loved
210,i
211,swear
212,i'd
213,love
214,you
215,right
216,i'd
217,go
218,back
219,time
220,change
221,i
222,can't
223,chain
224,your
225,door
226,i
227,understand
228,me
229,swallowing
230,my
231,pride
232,standing
233,front
234,you
235,saying
236,i'm
237,sorry
238,night
239,i'd
240,go
241,back
242,december
243,turns
244,freedom
245,ain't
246,nothing
247,missing
248,you
249,wishing
250,i'd
251,realized
252,i
253,you
254,mine
255,postchorus
256,i'd
257,go
258,back
259,december
260,turn
261,around
262,make
263,alright
264,i'd
265,go
266,back
267,december
268,turn
269,around
270,change
271,my
272,mind
273,i
274,go
275,back
276,december
277,time
278,time
