,April 8th_Neutral Milk Hotel
0,crawl
1,across
2,toward
3,window
4,i'm
5,calling
6,softly
7,street
8,always
9,lonely
10,widow
11,half
12,awake
13,sleeping
14,feet
15,i'm
16,age
17,children
18,quarter
19,phone
20,booth
21,calls
22,home
23,late
24,night
25,television
26,inside
27,bedroom
28,alone
29,use
30,waiting
31,offer
32,steps
33,climb
34,show
35,figure
36,paintings
37,etched
38,middle
39,night
40,let
41,stretch
42,upon
43,carpet
44,let
45,hear
46,rain
47,tap
48,street
49,knowing
50,safe
51,inside
52,blankets
53,wrapped
54,drifting
55,sleep
