,It Must Have Been Love_Roxette
0,lay
1,whisper
2,my
3,pillow
4,leave
5,winter
6,ground
7,i
8,wake
9,lonely
10,air
11,silence
12,bedroom
13,around
14,touch
15,me
16,i
17,close
18,my
19,eyes
20,dream
21,away
22,must
23,love
24,must
25,good
26,i
27,lost
28,somehow
29,must
30,love
31,moment
32,touched
33,till
34,time
35,run
36,make
37,believing
38,we're
39,together
40,i'm
41,sheltered
42,your
43,heart
44,outside
45,i
46,turn
47,water
48,like
49,teardrop
50,your
51,palm
52,hard
53,winter's
54,day
55,i
56,dream
57,away
58,must
59,love
60,must
61,love
62,i
63,wanted
64,i'm
65,living
66,without
67,must
68,love
69,must
70,love
71,water
72,flows
73,wind
74,blows
75,instrumental
76,break
77,must
78,love
79,must
80,love
81,must
82,good
83,i
84,lost
85,somehow
86,must
87,love
88,must
89,love
90,moment
91,touched
92,till
93,time
94,run
95,yeah
96,must
97,love
98,must
99,love
100,i
101,wanted
102,i'm
103,living
104,without
105,must
106,love
107,water
108,flows
109,wind
110,blows
111,must
112,love
113,must
114,love
