,Coney Island_Death Cab for Cutie
0,sitting
1,carousel
2,ride
3,without
4,music
5,light
6,everything
7,closed
8,coney
9,island
10,i
11,could
12,help
13,smiling
14,i
15,hear
16,atlantic
17,echo
18,back
19,roller
20,coaster
21,screams
22,summers
23,past
24,everything
25,closed
26,coney
27,island
28,i
29,could
30,help
31,smiling
32,brooklyn
33,fill
34,beach
35,eventually
36,everyone
37,go
38,except
39,me
