,Everything Will Be Alright_The Killers
0,doodoo
1,doodoo
2,i
3,believe
4,you
5,me
6,i'm
7,coming
8,find
9,you
10,takes
11,me
12,night
13,wrong
14,you
15,make
16,right
17,i
18,forget
19,you
20,least
21,i'll
22,try
23,run
24,run
25,tonight
26,everything
27,alright
28,everything
29,alright
30,everything
31,alright
32,everything
33,alright
34,everything
35,alright
36,everything
37,alright
38,alright
39,alright
40,alright
41,alright
42,i
43,shopping
44,doll
45,say
46,least
47,i
48,thought
49,i'd
50,seen
51,you
52,took
53,me
54,surprise
55,i'm
56,dreaming
57,'bout
58,dreamy
59,eyes
60,i
61,never
62,knew
63,i
64,never
65,knew
66,take
67,your
68,suitcase
69,'cause
70,i
71,mind
72,baby
73,doll
74,i
75,meant
76,every
77,time
78,you
79,need
80,compromise
81,i'm
82,dreaming
83,'bout
84,dreamy
85,eyes
86,i
87,never
88,knew
89,i
90,never
91,knew
92,alright
93,alright
94,everything
95,alright
96,everything
97,alright
98,everything
99,alright
100,everything
101,alright
102,everything
103,alright
104,everything
105,alright
106,everything
107,alright
108,everything
109,alright
110,everything
111,alright
112,everything
113,alright
114,everything
115,alright
116,everything
117,alright
118,alright
