,Miserable at Best_Mayday Parade
0,jake
1,bundrick
2,katie
3,cry
4,i
5,know
6,you're
7,trying
8,your
9,hardest
10,hardest
11,part
12,letting
13,go
14,nights
15,shared
16,ocala
17,calling
18,you
19,know
20,haunting
21,compared
22,your
23,eyes
24,nothing
25,shines
26,quite
27,bright
28,look
29,sky
30,mine
31,i
32,want
33,derek
34,sanders
35,jake
36,bundrick
37,let's
38,pretend
39,like
40,you're
41,alone
42,tonight
43,i
44,know
45,he's
46,you're
47,probably
48,hanging
49,making
50,eyes
51,across
52,room
53,he
54,stares
55,i'll
56,bet
57,he
58,gets
59,nerve
60,walk
61,floor
62,ask
63,my
64,girl
65,dance
66,she'll
67,say
68,yes
69,words
70,never
71,easier
72,me
73,say
74,her
75,second
76,guess
77,i
78,guess
79,i
80,live
81,without
82,you
83,without
84,you
85,i'll
86,miserable
87,best
88,derek
89,sanders
90,you're
91,i
92,hoped
93,i'd
94,find
95,every
96,single
97,way
98,everything
99,i
100,would
101,give
102,everything
103,you
104,take
105,cause
106,nothing
107,feels
108,like
109,home
110,you're
111,thousand
112,miles
113,away
114,hardest
115,part
116,living
117,taking
118,breaths
119,stay
120,cause
121,i
122,know
123,i'm
124,good
125,something
126,i
127,found
128,yet
129,i
130,need
131,jake
132,bundrick
133,derek
134,sanders
135,let's
136,pretend
137,like
138,you're
139,alone
140,tonight
141,i
142,know
143,he's
144,you're
145,probably
146,hanging
147,making
148,eyes
149,across
150,room
151,he
152,stares
153,i'll
154,bet
155,he
156,gets
157,nerve
158,walk
159,floor
160,ask
161,my
162,girl
163,dance
164,she'll
165,say
166,yes
167,words
168,never
169,easier
170,me
171,say
172,her
173,second
174,guess
175,i
176,guess
177,i
178,live
179,without
180,you
181,without
182,you
183,i'll
184,miserable
185,best
186,jake
187,bundrick
188,first
189,time
190,week
191,i'll
192,talk
193,you
194,i
195,can't
196,speak
197,three
198,whole
199,days
200,since
201,i've
202,sleep
203,cause
204,i
205,dream
206,his
207,lips
208,your
209,cheek
210,i
211,got
212,point
213,i
214,leave
215,you
216,alone
217,know
218,i'm
219,strong
220,i
221,miss
222,lips
223,made
224,me
225,fly
226,derek
227,sanders
228,jake
229,bundrick
230,let's
231,pretend
232,like
233,you're
234,alone
235,tonight
236,i
237,know
238,he's
239,you're
240,probably
241,hanging
242,making
243,eyes
244,across
245,room
246,he
247,stares
248,i'll
249,bet
250,he
251,gets
252,nerve
253,walk
254,floor
255,ask
256,my
257,girl
258,dance
259,she'll
260,say
261,yes
262,words
263,never
264,easier
265,me
266,say
267,her
268,second
269,guess
270,i
271,guess
272,i
273,live
274,without
275,you
276,without
277,you
278,i'll
279,miserable
280,i
281,live
282,without
283,you
284,without
285,you
286,i'll
287,miserable
288,i
289,live
290,without
291,you
292,without
293,you
294,i'll
295,miserable
296,best
