,Jesus to a Child_George Michael
0,kindness
1,your
2,eyes
3,i
4,guess
5,you
6,heard
7,me
8,cry
9,you
10,smiled
11,me
12,like
13,jesus
14,child
15,i'm
16,blessed
17,i
18,know
19,heaven
20,sent
21,heaven
22,stole
23,you
24,smiled
25,me
26,like
27,jesus
28,child
29,i
30,learned
31,pain
32,i
33,thought
34,i
35,never
36,feel
37,anyone
38,anything
39,i
40,know
41,you
42,find
43,love
44,you
45,know
46,exists
47,lover
48,you
49,miss
50,come
51,you
52,cold
53,cold
54,nights
55,you've
56,loved
57,you
58,know
59,holds
60,bliss
61,lover
62,you
63,kissed
64,comfort
65,you
66,there's
67,hope
68,sight
69,sadness
70,my
71,eyes
72,one
73,guessed
74,one
75,tried
76,you
77,smiled
78,me
79,like
80,jesus
81,child
82,loveless
83,cold
84,your
85,last
86,breath
87,you
88,saved
89,my
90,soul
91,you
92,smiled
93,me
94,like
95,jesus
96,child
97,i
98,learned
99,tears
100,i've
101,waited
102,you
103,years
104,began
105,he
106,took
107,your
108,love
109,away
110,i
111,still
112,say
113,you
114,find
115,love
116,you
117,know
118,exists
119,lover
120,you
121,miss
122,come
123,you
124,cold
125,cold
126,nights
127,you've
128,loved
129,you
130,know
131,holds
132,bliss
133,lover
134,you
135,kissed
136,comfort
137,you
138,there's
139,hope
140,sight
141,words
142,you
143,could
144,say
145,i'll
146,sing
147,you
148,love
149,would
150,made
151,i'll
152,make
153,two
154,every
155,single
156,memory
157,become
158,part
159,me
160,you
161,always
162,my
163,love
164,well
165,i've
166,loved
167,i
168,know
169,love
170,lover
171,i
172,kissed
173,always
174,my
175,side
176,oh
177,lover
178,i
179,still
180,miss
181,jesus
182,child
