,The Word_The Beatles
0,say
1,word
2,you'll
3,free
4,say
5,word
6,like
7,me
8,say
9,word
10,i'm
11,thinking
12,you
13,heard
14,word
15,love
16,fine
17,sunshine
18,word
19,love
20,beginning
21,i
22,misunderstood
23,i've
24,got
25,word
26,good
27,spread
28,word
29,you'll
30,free
31,spread
32,word
33,like
34,me
35,spread
36,word
37,i'm
38,thinking
39,you
40,heard
41,word
42,love
43,fine
44,sunshine
45,word
46,love
47,everywhere
48,i
49,go
50,i
51,hear
52,said
53,good
54,bad
55,books
56,i
57,read
58,say
59,word
60,you'll
61,free
62,say
63,word
64,like
65,me
66,say
67,word
68,i'm
69,thinking
70,you
71,heard
72,word
73,love
74,fine
75,sunshine
76,word
77,love
78,i
79,know
80,i
81,feel
82,must
83,right
84,i'm
85,show
86,everybody
87,light
88,give
89,word
90,chance
91,say
92,word
93,way
94,word
95,i'm
96,thinking
97,word
98,love
99,fine
100,sunshine
101,word
102,love
103,say
104,word
105,love
106,say
107,word
108,love
109,say
110,word
111,love
112,say
113,word
114,love
