,Clark Gable_The Postal Service
0,i
1,waiting
2,crosstown
3,train
4,london
5,underground
6,struck
7,me
8,struck
9,me
10,i've
11,waiting
12,since
13,birth
14,find
15,love
16,would
17,look
18,sound
19,like
20,movie
21,i
22,changed
23,my
24,plans
25,i
26,rented
27,camera
28,van
29,i
30,called
31,you
32,i
33,called
34,you
35,i
36,need
37,you
38,pretend
39,love
40,you
41,agreed
42,i
43,want
44,badly
45,believe
46,truth
47,love
48,real
49,i
50,want
51,life
52,every
53,word
54,extent
55,absurd
56,i
57,greased
58,lens
59,framed
60,shot
61,using
62,friend
63,my
64,standin
65,my
66,standin
67,script
68,called
69,rain
70,clear
71,day
72,faked
73,marker
74,snapped
75,i
76,yelled
77,quiet
78,set
79,called
80,action
81,called
82,action
83,i
84,kissed
85,you
86,style
87,clark
88,gable
89,would
90,admired
91,i
92,thought
93,classic
94,i
95,want
96,badly
97,believe
98,truth
99,love
100,real
101,i
102,want
103,life
104,every
105,word
106,extent
107,absurd
108,i
109,know
110,you're
111,wise
112,beyond
113,your
114,years
115,you
116,ever
117,get
118,fear
119,your
120,perfect
121,lie
122,you
123,tell
124,yourself
125,help
126,you
127,get
128,you
129,tell
130,yourself
131,help
132,you
133,get
134,you
135,tell
136,yourself
137,help
138,you
139,get
