,If I Ever Feel Better_Phoenix
0,say
1,end
2,start
3,feels
4,like
5,i've
6,buried
7,yet
8,i'm
9,still
10,alive
11,like
12,bad
13,day
14,never
15,ends
16,feel
17,chaos
18,around
19,thing
20,try
21,deny
22,i'd
23,better
24,learn
25,accept
26,things
27,life
28,can't
29,control
30,say
31,love
32,ain't
33,nothing
34,sore
35,even
36,know
37,love
38,many
39,tears
40,fall
41,know
42,i'm
43,tired
44,known
45,terror
46,dizzy
47,spells
48,finding
49,secrets
50,words
51,tell
52,whatever
53,can't
54,named
55,there's
56,part
57,world
58,that's
59,fading
60,away
61,know
62,want
63,clever
64,brilliant
65,superior
66,true
67,like
68,ice
69,true
70,like
71,fire
72,know
73,breeze
74,blow
75,away
76,know
77,there's
78,much
79,dignity
80,defeat
81,brightest
82,victory
83,i'm
84,losing
85,balance
86,tight
87,rope
88,tell
89,please
90,tell
91,please
92,tell
93,please
94,tell
95,please
96,ever
97,feel
98,better
99,remind
100,spend
101,good
102,time
103,give
104,number
105,i'll
106,let
107,know
108,hang
109,good
110,days
111,lean
112,friends
113,help
114,going
115,hard
116,times
117,i'm
118,feeding
119,enemy
120,i'm
121,league
122,foe
123,blame
124,what's
125,happening
126,can't
127,try
128,can't
129,try
130,can't
131,try
132,can't
133,try
134,one
135,knows
136,hard
137,times
138,went
139,happiness
140,came
141,miss
142,call
143,stormy
144,days
145,ain't
146,i've
147,tried
148,lost
149,think
150,pay
151,cost
152,i've
153,watched
154,castles
155,fall
156,made
157,dust
158,someday
159,mess
160,make
161,laugh
162,can't
163,wait
164,can't
165,wait
166,can't
167,wait
168,can't
169,wait
170,ever
171,feel
172,better
173,remind
174,spend
175,good
176,time
177,give
178,number
179,i'll
180,let
181,know
182,ever
183,feel
184,better
185,remind
186,spend
187,good
188,time
189,give
190,number
191,i'll
192,let
193,know
194,bridge
195,like
196,somebody
197,took
198,place
199,ain't
200,even
201,playing
202,game
203,rules
204,changed
205,well
206,know
207,things
208,life
209,can't
210,control
211,feel
212,chaos
213,around
214,thing
215,try
216,deny
217,i'd
218,better
219,learn
220,accept
221,there's
222,part
223,life
224,go
225,away
226,dark
227,night
228,cold
229,ground
230,circular
231,solitude
232,heart
233,one
234,strives
235,hill
236,climb
237,sure
238,i'll
239,come
240,know
241,say
242,end
243,start
244,feels
245,like
246,i've
247,buried
248,yet
249,i'm
250,still
251,alive
252,i'm
253,losing
254,balance
255,tight
256,rope
257,tell
258,please
259,tell
260,please
261,tell
262,please
263,tell
264,please
265,ever
266,feel
267,better
268,remind
269,spend
270,good
271,time
272,give
273,number
274,i'll
275,let
276,know
277,ever
278,feel
279,better
280,remind
281,spend
282,good
283,time
284,give
285,number
286,i'll
287,let
288,know
289,ever
290,feel
291,better
292,remind
293,spend
294,good
295,time
296,give
297,number
298,i'll
299,let
300,know
