,Love Me Do_The Beatles
0,paul
1,mccartney
2,john
3,lennon
4,paul
5,mccartney
6,love
7,love
8,me
9,you
10,know
11,i
12,love
13,you
14,i'll
15,always
16,true
17,please
18,love
19,me
20,whoa
21,love
22,me
23,paul
24,mccartney
25,john
26,lennon
27,paul
28,mccartney
29,love
30,love
31,me
32,you
33,know
34,i
35,love
36,you
37,i'll
38,always
39,true
40,please
41,love
42,me
43,whoa
44,love
45,me
46,paul
47,mccartney
48,john
49,lennon
50,paul
51,mccartney
52,someone
53,love
54,somebody
55,new
56,someone
57,love
58,someone
59,like
60,you
61,paul
62,mccartney
63,john
64,lennon
65,paul
66,mccartney
67,love
68,love
69,me
70,you
71,know
72,i
73,love
74,you
75,i'll
76,always
77,true
78,please
79,love
80,me
81,whoa
82,love
83,me
84,harmonica
85,solo
86,john
87,lennon
88,paul
89,mccartney
90,john
91,lennon
92,paul
93,mccartney
94,love
95,love
96,me
97,you
98,know
99,i
100,love
101,you
102,i'll
103,always
104,true
105,please
106,love
107,me
108,whoa
109,love
110,me
111,yeah
112,love
113,me
114,paul
115,mccartney
116,whoa
117,oh
118,love
119,me
120,yeah
121,love
122,me
123,you
124,love
125,me
