,Angel_Aerosmith
0,i'm
1,alone
2,yeah
3,i
4,know
5,i
6,face
7,night
8,i'm
9,tears
10,cryin'
11,i
12,you
13,i
14,want
15,your
16,love
17,let's
18,break
19,walls
20,us
21,make
22,tough
23,i'll
24,put
25,away
26,my
27,pride
28,enough's
29,enough
30,i've
31,suffered
32,i've
33,seen
34,light
35,baby
36,you're
37,my
38,angel
39,come
40,save
41,me
42,tonight
43,you're
44,my
45,angel
46,come
47,make
48,right
49,know
50,i'm
51,going
52,feeling
53,inside
54,yes
55,true
56,loneliness
57,took
58,me
59,ride
60,without
61,your
62,love
63,i'm
64,nothing
65,begger
66,without
67,your
68,love
69,dog
70,without
71,bone
72,i
73,i'm
74,sleeping
75,bed
76,alone
77,you're
78,my
79,angel
80,come
81,save
82,me
83,tonight
84,you're
85,my
86,angel
87,come
88,make
89,right
90,you're
91,reason
92,i
93,live
94,you're
95,reason
96,i
97,die
98,you're
99,reason
100,i
101,give
102,i
103,break
104,cry
105,need
106,reason
107,baby
108,baby
109,you're
110,my
111,angel
112,come
113,save
114,me
115,tonight
116,you're
117,my
118,angel
119,come
120,make
121,right
122,come
123,save
124,me
125,tonight
126,x5
