,My Body_Young the Giant
0,stop
1,train
2,riding
3,station
4,lived
5,school
6,kids
7,hey
8,rails
9,caught
10,falling
11,fools
12,spiral
13,round
14,town
15,steel
16,body
17,tells
18,quit
19,'cause
20,want
21,'cause
22,want
23,body
24,tells
25,quit
26,'cause
27,want
28,'cause
29,want
30,stop
31,train
32,riding
33,station
34,lived
35,cool
36,kid
37,hey
38,fault
39,fallen
40,embers
41,burn
42,spiral
43,round
44,crown
45,thieves
46,body
47,tells
48,quit
49,'cause
50,want
51,'cause
52,want
53,body
54,tells
55,quit
56,'cause
57,want
58,'cause
59,want
60,rides
61,town
62,instrumental
63,bridge
64,oh
65,road
66,road
67,road
68,road
69,road
70,war
71,war
72,war
73,war
74,eyes
75,open
76,eyes
77,open
78,oh
79,'cause
80,want
81,want
82,want
83,eyes
84,open
85,eyes
86,open
87,hey
88,hey
89,hey
90,body
91,tells
92,quit
93,'cause
94,want
95,'cause
96,want
97,body
98,tells
99,quit
100,'cause
101,want
102,'cause
103,want
104,rides
105,town
