,Shine_Years & Years
0,remember
1,us
2,alone
3,waiting
4,light
5,go
6,feel
7,hunger
8,i've
9,got
10,many
11,secrets
12,show
13,saw
14,stage
15,shivered
16,look
17,gave
18,hear
19,rhythm
20,show
21,escape
22,pre-chorus
23,biting
24,tongue
25,trying
26,hide
27,i'll
28,forget
29,i've
30,done
31,redefined
32,shaking
33,sky
34,i'm
35,following
36,lightning
37,i'll
38,recover
39,keep
40,alight
41,leave
42,behind
43,see
44,i'm
45,shining
46,i've
47,waiting
48,find
49,post-chorus
50,i'm
51,holding
52,tonight
53,unfolding
54,tonight
55,know
56,make
57,shine
58,i've
59,waiting
60,find
61,i'm
62,holding
63,tonight
64,unfolding
65,tonight
66,know
67,make
68,shine
69,i've
70,waiting
71,find
72,hear
73,sound
74,hold
75,pull
76,raise
77,everything
78,ground
79,everything
80,arrange
81,every
82,part
83,change
84,hold
85,together
86,tell
87,always
88,want
89,stay
90,pre-chorus
91,biting
92,tongue
93,trying
94,hide
95,i'll
96,forget
97,i've
98,done
99,redefined
100,shaking
101,sky
102,i'm
103,following
104,lightning
105,i'll
106,recover
107,keep
108,alight
109,leave
110,behind
111,see
112,i'm
113,shining
114,i've
115,waiting
116,find
117,bridge
118,wanna
119,one
120,steal
121,wanna
122,one
123,shield
124,wanna
125,one
126,love
127,love
128,heal
129,wanna
130,one
131,steal
132,wanna
133,one
134,shield
135,wanna
136,one
137,love
138,love
139,shaking
140,sky
141,i'm
142,following
143,lightning
144,i'll
145,recover
146,keep
147,alight
148,leave
149,behind
150,see
151,i'm
152,shining
153,i've
154,waiting
155,find
156,post-chorus
157,i'm
158,holding
159,tonight
160,unfolding
161,tonight
162,know
163,make
164,shine
165,i've
166,waiting
167,find
168,i'm
169,holding
170,tonight
171,unfolding
172,tonight
173,know
174,make
175,shine
176,i've
177,waiting
178,find
179,outro
180,i've
181,waiting
182,find
183,i've
184,waiting
185,find
186,i've
187,waiting
188,find
