,Re: Stacks_Bon Iver
0,my
1,excavation
2,to–
3,–day
4,kumran
5,everything
6,happens
7,pouring
8,rain
9,paralyzed
10,i
11,keep
12,throwing
13,two–
14,–hundred
15,time
16,hard
17,find
18,you
19,knew
20,your
21,money's
22,gone
23,you're
24,drunk
25,hell
26,your
27,back
28,racks
29,stacks
30,your
31,load
32,back
33,racks
34,stacks
35,your
36,load
37,back
38,racks
39,you're
40,unstacking
41,your
42,load
43,i've
44,twisting
45,sun
46,i
47,needed
48,replace
49,fountain
50,front
51,yard
52,rusted
53,my
54,love
55,frozen
56,ground
57,there's
58,black
59,crow
60,sitting
61,across
62,me
63,his
64,wiry
65,legs
66,crossed
67,he's
68,dangling
69,my
70,keys
71,he
72,even
73,fakes
74,toss
75,whatever
76,could
77,brought
78,me
79,loss
80,your
81,back
82,your
83,racks
84,stacks
85,your
86,load
87,back
88,racks
89,stacks
90,your
91,load
92,back
93,your
94,racks
95,you're
96,unstacking
97,your
98,load
99,sound
100,new
101,man
102,crispy
103,realization
104,sound
105,unlocking
106,lift
107,away
108,your
109,love
110,safe
111,me
