,I Care_Beyoncé
0,told
1,hurt
2,baby
3,care
4,i'm
5,crying
6,deserted
7,baby
8,care
9,ain't
10,nobody
11,tell
12,love
13,immune
14,pain
15,need
16,tell
17,love
18,care
19,well
20,that's
21,okay
22,well
23,care
24,know
25,care
26,much
27,still
28,care
29,baby
30,oh
31,care
32,know
33,care
34,much
35,still
36,care
37,baby
38,ever
39,since
40,knew
41,power
42,made
43,cry
44,everytime
45,love
46,goes
47,sour
48,sympathize
49,see
50,tears
51,falling
52,ears
53,swear
54,like
55,i'm
56,pain
57,yeah
58,try
59,tell
60,fears
61,still
62,care
63,that's
64,okay
65,well
66,care
67,know
68,care
69,much
70,still
71,care
72,baby
73,oh
74,care
75,know
76,care
77,much
78,still
79,care
80,baby
81,bridge
82,boy
83,maybe
84,cared
85,enough
86,care
87,much
88,happened
89,trust
90,given
91,used
92,love
93,care
94,interlude
95,oooh
96,oooh
97,oooh
98,oooh
99,oooh
100,oooh
101,oooh
102,oooh
103,whoa
104,well
105,care
106,know
107,care
108,much
109,still
110,care
111,baby
112,oh
113,care
114,know
115,care
116,much
117,still
118,care
119,baby
120,outro
121,still
122,care
123,still
124,care
125,still
126,care
