,Absolutely Cuckoo_The Magnetic Fields
0,fall
1,love
2,me
3,yet
4,we've
5,recently
6,met
7,true
8,i'm
9,love
10,you
11,you
12,might
13,decide
14,i'm
15,nut
16,give
17,me
18,week
19,two
20,go
21,absolutely
22,cuckoo
23,you
24,see
25,your
26,error
27,you
28,flee
29,terror
30,like
31,everybody
32,else
33,i
34,tell
35,you
36,'cause
37,i'm
38,easy
39,get
40,rid
41,you
42,fall
43,love
44,know
45,i'm
46,make
47,you
48,make
49,mistake
50,my
51,heart
52,certainly
53,break
54,i'll
55,jump
56,lake
57,my
58,friends
59,blame
60,you
61,there's
62,telling
63,they'll
64,fair
65,tell
66,you
67,i'm
68,absolutely
69,cuckoo
70,repeat
71,fall
72,love
73,me
74,yet
75,we've
76,recently
77,met
78,true
79,i'm
80,love
81,you
82,you
83,might
84,decide
85,i'm
86,nut
87,give
88,me
89,week
90,two
91,go
92,absolutely
93,cuckoo
94,you
95,see
96,your
97,error
98,you
99,flee
100,terror
101,like
102,everybody
103,else
104,i
105,tell
106,you
107,'cause
108,i'm
109,easy
110,get
111,rid
112,you
113,fall
114,love
115,know
116,i'm
117,make
118,you
119,make
120,mistake
121,my
122,heart
123,certainly
124,break
125,i'll
126,jump
127,lake
128,my
129,friends
130,blame
131,you
132,there's
133,telling
134,they'll
135,fair
136,tell
137,you
138,i'm
139,absolutely
140,cuckoo
141,fair
142,tell
143,you
144,i'm
145,absolutely
146,cuckoo
