,Kiss It Better_Rihanna
0,kiss
1,kiss
2,better
3,baby
4,kiss
5,kiss
6,better
7,baby
8,waitin'
9,sunshine
10,boy
11,i
12,think
13,i
14,need
15,back
16,can't
17,like
18,one
19,else
20,gon'
21,get
22,like
23,argue
24,you
25,yell
26,cha
27,take
28,me
29,back
30,cares
31,feels
32,like
33,crack
34,boy
35,ya
36,know
37,you
38,always
39,right
40,prechorus
41,man
42,fuck
43,yo
44,pride
45,take
46,back
47,boy
48,take
49,back
50,boy
51,take
52,back
53,night
54,take
55,back
56,take
57,back
58,mmm
59,cha
60,gotta
61,keep
62,me
63,night
64,hurtin'
65,vibe
66,man
67,hurts
68,inside
69,i
70,look
71,you
72,yo
73,eye
74,you
75,willing
76,oh
77,tell
78,me
79,you’re
80,willing
81,kiss
82,kiss
83,better
84,baby
85,oh
86,you
87,willing
88,oh
89,tell
90,me
91,you’re
92,willing
93,kiss
94,kiss
95,better
96,baby
97,waitin'
98,sunshine
99,boy
100,i
101,think
102,i
103,need
104,back
105,can't
106,like
107,one
108,else
109,gon'
110,get
111,like
112,argue
113,you
114,take
115,me
116,back
117,cares
118,feels
119,like
120,crack
121,boy
122,ya
123,know
124,you
125,always
126,right
127,prechorus
128,man
129,fuck
130,yo
131,pride
132,take
133,back
134,boy
135,take
136,back
137,boy
138,take
139,back
140,night
141,take
142,back
143,take
144,back
145,mmm
146,cha
147,gotta
148,keep
149,me
150,night
151,hurtin'
152,vibe
153,man
154,hurts
155,inside
156,i
157,look
158,you
159,yo
160,eye
161,you
162,willing
163,oh
164,tell
165,me
166,you’re
167,willing
168,kiss
169,kiss
170,better
171,baby
172,oh
173,you
174,willing
175,oh
176,tell
177,me
178,you’re
179,willing
180,kiss
181,kiss
182,better
183,baby
184,i’ve
185,waitin'
186,night
187,baby
188,tell
189,me
190,what’s
191,wrong
192,you're
193,gonna
194,make
195,right
196,make
197,night
198,long
199,i’ve
200,waiting
201,night
202,baby
203,tell
204,me
205,what’s
206,wrong
207,going
208,make
209,right
210,make
211,night
212,long
213,prechorus
214,man
215,fuck
216,yo
217,pride
218,take
219,back
220,boy
221,take
222,back
223,boy
224,take
225,back
226,night
227,take
228,back
229,take
230,back
231,mmm
232,cha
233,gotta
234,keep
235,me
236,night
237,hurtin'
238,vibe
239,man
240,hurts
241,inside
242,i
243,look
244,you
245,yo
246,eye
247,you
248,willing
249,oh
250,tell
251,me
252,you’re
253,willing
254,kiss
255,kiss
256,better
257,baby
258,oh
259,you
260,willing
261,oh
262,tell
263,me
264,you’re
265,willing
266,kiss
267,kiss
268,better
269,baby
270,you
271,willing
272,oh
273,tell
274,me
275,you’re
276,willing
277,kiss
278,kiss
279,better
280,baby
281,oh
282,you
283,willing
284,oh
285,tell
286,me
287,you’re
288,willing
289,kiss
290,kiss
291,better
292,baby
293,kiss
294,kiss
295,better
296,baby
297,kiss
298,kiss
299,better
300,baby
