,One Sweet Day_Mariah Carey
0,boyz
1,ii
2,men
3,sorry
4,i
5,never
6,told
7,you
8,i
9,wanted
10,say
11,late
12,hold
13,you
14,'cause
15,you've
16,flown
17,away
18,far
19,away
20,mariah
21,carey
22,never
23,i
24,imagined
25,living
26,without
27,your
28,smile
29,feeling
30,knowing
31,you
32,hear
33,me
34,keeps
35,me
36,alive
37,alive
38,mariah
39,carey
40,i
41,know
42,you're
43,shining
44,me
45,heaven
46,like
47,many
48,friends
49,we've
50,lost
51,along
52,way
53,i
54,know
55,eventually
56,we'll
57,together
58,together
59,one
60,sweet
61,day
62,i'll
63,wait
64,patiently
65,see
66,you
67,heaven
68,boyz
69,ii
70,men
71,mariah
72,carey
73,darling
74,i
75,never
76,showed
77,you
78,assumed
79,you'd
80,always
81,always
82,i
83,thought
84,you'd
85,always
86,i
87,i
88,took
89,your
90,presence
91,granted
92,i
93,always
94,cared
95,i
96,always
97,cared
98,i
99,miss
100,love
101,shared
102,yeah
103,i
104,know
105,mariah
106,carey
107,i
108,know
109,you're
110,shining
111,me
112,heaven
113,like
114,many
115,friends
116,we've
117,lost
118,along
119,way
120,lost
121,along
122,way
123,i
124,know
125,eventually
126,we'll
127,together
128,oh
129,i
130,know
131,one
132,sweet
133,day
134,i'll
135,wait
136,patiently
137,see
138,you
139,heaven
140,mariah
141,carey
142,boyz
143,ii
144,men
145,although
146,sun
147,never
148,shine
149,i'll
150,always
151,look
152,brighter
153,day
154,yeah
155,yeah
156,lord
157,i
158,know
159,i
160,lay
161,me
162,sleep
163,you
164,always
165,listen
166,i
167,pray
168,i
169,know
170,you're
171,shining
172,me
173,heaven
174,like
175,many
176,friends
177,we've
178,lost
179,along
180,way
181,i
182,know
183,eventually
184,we'll
185,together
186,one
187,sweet
188,day
189,one
190,sweet
191,day
192,i
193,know
194,you're
195,shining
196,me
197,heaven
198,like
199,many
200,friends
201,we've
202,lost
203,along
204,way
205,i
206,know
207,eventually
208,we'll
209,together
210,yes
211,one
212,sweet
213,day
214,one
215,sweet
216,day
217,mariah
218,carey
219,boyz
220,ii
221,men
222,sorry
223,i
224,never
225,told
226,you
227,i
228,wanted
229,say
