,Something_The Beatles
0,1something
1,way
2,movesattracts
3,like
4,loversomething
5,way
6,woos
7,meprebridgei
8,dont
9,want
10,leave
11,nowyou
12,know
13,believe
14,howverse
15,2somewhere
16,smile
17,knowsthat
18,dont
19,need
20,loversomething
21,style
22,shows
23,meprebridgei
24,dont
25,want
26,leave
27,nowyou
28,know
29,believe
30,howbridgeyoure
31,asking
32,love
33,growi
34,dont
35,know
36,dont
37,knowyou
38,stick
39,around
40,may
41,showi
42,dont
43,know
44,dont
45,knowguitar
46,soloverse
47,3something
48,way
49,knowsand
50,think
51,hersomething
52,things
53,shows
54,meprebridgei
55,dont
56,want
57,leave
58,nowyou
59,know
60,believe
