,Abracadabra_Jessie J
0,i
1,wanna
2,reason
3,get
4,i'ma
5,let
6,you
7,leading
8,follow
9,you
10,see
11,i
12,usually
13,you're
14,bringing
15,me
16,doubts
17,i
18,gone
19,away
20,you're
21,touching
22,me
23,i'm
24,afraid
25,prechorus
26,know
27,ain't
28,going
29,away
30,stay
31,i
32,wanna
33,your
34,girl
35,your
36,girl
37,i
38,you
39,want
40,you
41,say
42,i
43,wanna
44,your
45,girl
46,yeah
47,yeah
48,yeah
49,yeah
50,'cause
51,you
52,got
53,my
54,heart
55,lock
56,unreal
57,you
58,know
59,want
60,stop
61,you're
62,damn
63,keepable
64,feel
65,your
66,magic
67,touch
68,unbelievable
69,i
70,gotta
71,ya
72,like
73,abracadabra
74,you
75,got
76,my
77,heart
78,lock
79,unreal
80,you
81,know
82,want
83,stop
84,you're
85,damn
86,keepable
87,feel
88,your
89,magic
90,touch
91,unbelievable
92,i
93,gotta
94,ya
95,like
96,abracadabra
97,i
98,even
99,see
100,you
101,coming
102,surprise
103,i
104,expecting
105,nothing
106,i'm
107,lit
108,inside
109,you're
110,bringing
111,colours
112,black
113,white
114,you
115,race
116,got
117,gold
118,i
119,we're
120,good
121,go
122,prechorus
123,know
124,ain't
125,going
126,away
127,stay
128,i
129,wanna
130,your
131,girl
132,your
133,girl
134,i
135,you
136,want
137,you
138,say
139,i
140,wanna
141,your
142,girl
143,yeah
144,yeah
145,yeah
146,yeah
147,'cause
148,you
149,got
150,my
151,heart
152,lock
153,unreal
154,you
155,know
156,want
157,stop
158,you're
159,damn
160,keepable
161,feel
162,your
163,magic
164,touch
165,unbelievable
166,i
167,gotta
168,ya
169,like
170,abracadabra
171,you
172,got
173,my
174,heart
175,lock
176,unreal
177,you
178,know
179,want
180,stop
181,you're
182,damn
183,keepable
184,feel
185,your
186,magic
187,touch
188,unbelievable
189,i
190,gotta
191,ya
192,like
193,abracadabra
194,i
195,wanna
196,take
197,my
198,time
199,i
200,wanna
201,wait
202,line
203,i
204,want
205,you
206,my
207,side
208,come
209,gimme
210,i
211,like
212,i
213,wanna
214,take
215,my
216,time
217,i
218,wanna
219,wait
220,line
221,i
222,want
223,you
224,my
225,side
226,come
227,gimme
228,i
229,like
230,'cause
231,you
232,got
233,my
234,heart
235,lock
236,unreal
237,you
238,know
239,want
240,stop
241,you're
242,damn
243,keepable
244,feel
245,your
246,magic
247,touch
248,unbelievable
249,i
250,gotta
251,ya
252,like
253,abracadabra
254,you
255,got
256,my
257,heart
258,lock
259,unreal
260,you
261,know
262,want
263,stop
264,you're
265,damn
266,keepable
267,feel
268,your
269,magic
270,touch
271,unbelievable
272,i
273,gotta
274,ya
275,like
276,abracadabra
