,Just The Way You Are_Billy Joel
0,go
1,changing
2,try
3,please
4,never
5,let
6,imagine
7,familiar
8,see
9,anymore
10,refrain
11,would
12,leave
13,times
14,trouble
15,never
16,could
17,come
18,far
19,took
20,good
21,times
22,i'll
23,take
24,bad
25,times
26,i'll
27,take
28,way
29,go
30,trying
31,new
32,fashion
33,change
34,color
35,hair
36,always
37,unspoken
38,passion
39,although
40,might
41,seem
42,care
43,refrain
44,want
45,clever
46,conversation
47,never
48,want
49,work
50,hard
51,want
52,someone
53,talk
54,want
55,way
56,bridge
57,need
58,know
59,always
60,old
61,someone
62,knew
63,take
64,till
65,believe
66,way
67,believe
68,refrain
69,said
70,love
71,that's
72,forever
73,promise
74,heart
75,could
76,love
77,better
78,love
79,way
80,saxophone
81,solo
82,refrain
83,want
84,clever
85,conversation
86,never
87,want
88,work
89,hard
90,want
91,someone
92,talk
93,want
94,way
