,You're Still the One_Shania Twain
0,i
1,first
2,saw
3,you
4,i
5,saw
6,love
7,first
8,time
9,you
10,touched
11,me
12,i
13,felt
14,love
15,time
16,you're
17,still
18,one
19,i
20,love
21,mmm
22,yeah
23,looks
24,like
25,made
26,look
27,far
28,we've
29,come
30,my
31,baby
32,mighta
33,took
34,long
35,way
36,knew
37,we'd
38,get
39,someday
40,prechorus
41,said
42,“i
43,bet
44,they'll
45,never
46,make
47,it”
48,look
49,us
50,holding
51,we're
52,still
53,together
54,still
55,going
56,strong
57,you're
58,still
59,one
60,you're
61,still
62,one
63,i
64,run
65,one
66,i
67,belong
68,you're
69,still
70,one
71,i
72,want
73,life
74,you're
75,still
76,one
77,you're
78,still
79,one
80,i
81,love
82,one
83,i
84,dream
85,you're
86,still
87,one
88,i
89,kiss
90,goodnight
91,ain't
92,nothing
93,better
94,beat
95,odds
96,together
97,i'm
98,glad
99,listen
100,look
101,would
102,missing
103,prechorus
104,said
105,“i
106,bet
107,they'll
108,never
109,make
110,it”
111,look
112,us
113,holding
114,we're
115,still
116,together
117,still
118,going
119,strong
120,you're
121,still
122,one
123,you're
124,still
125,one
126,i
127,run
128,one
129,i
130,belong
131,you're
132,still
133,one
134,i
135,want
136,life
137,you're
138,still
139,one
140,you're
141,still
142,one
143,i
144,love
145,one
146,i
147,dream
148,you're
149,still
150,one
151,i
152,kiss
153,goodnight
154,you're
155,still
156,one
157,instrumental
158,break
159,yeah
160,you're
161,still
162,one
163,you're
164,still
165,one
166,i
167,run
168,one
169,i
170,belong
171,you're
172,still
173,one
174,i
175,want
176,life
177,ooh
178,you're
179,still
180,one
181,you're
182,still
183,one
184,i
185,love
186,one
187,i
188,dream
189,you're
190,still
191,one
192,i
193,kiss
194,goodnight
195,i'm
196,glad
197,made
198,look
199,far
200,we've
201,come
202,my
203,baby
