,Sowing Season (Yeah)_Brand New
0,losing
1,my
2,friends
3,losing
4,drinking
5,driving
6,losing
7,my
8,friends
9,i
10,got
11,back
12,i
13,mend
14,least
15,i
16,say
17,i
18,trying
19,i
20,hope
21,you
22,forget
23,things
24,i
25,still
26,lack
27,yeah
28,yeah
29,you
30,bear
31,hear
32,truth
33,you
34,spoken
35,twisted
36,knaves
37,make
38,trap
39,fools
40,you
41,watch
42,things
43,you
44,gave
45,your
46,life
47,broken
48,stoop
49,build
50,worn
51,tools
52,yeah
53,yeah
54,yeah
55,yeah
56,yeah
57,nothing
58,gets
59,bad
60,whisper
61,your
62,father
63,fix
64,your
65,whisper's
66,like
67,river
68,span
69,take
70,you
71,turn
72,something
73,you
74,would
75,miss
76,somebody
77,threw
78,brick
79,shattered
80,your
81,plans
82,yeah
83,yeah
84,yeah
85,yeah
86,yeah
87,postchorus
88,time
89,get
90,seeds
91,cold
92,ground
93,takes
94,grow
95,anything
96,coming
97,end
98,yeah
99,you
100,put
101,my
102,body
103,cold
104,ground
105,take
106,time
107,warm
108,your
109,hand
110,coming
111,end
112,yeah
113,coming
114,end
115,yeah
116,coming
117,end
118,yeah
119,you
120,miss
121,blend
122,colors
123,she
124,left
125,your
126,black
127,white
128,field
129,you
130,feel
131,condemned
132,i
133,your
134,friend
135,i
136,man
137,knows
138,feel
139,i
140,your
141,friend
142,i'm
143,your
144,lover
145,i'm
146,your
147,family
148,yeah
149,yeah
150,yeah
151,yeah
152,yeah
153,postchorus
154,time
155,get
156,seeds
157,cold
158,ground
159,takes
160,grow
161,anything
162,coming
163,end
164,yeah
