,We Might Be Dead by Tomorrow_SoKo
0,give
1,me
2,your
3,love
4,cause
5,know
6,might
7,dead
8,tomorrow
9,i
10,can't
11,go
12,wasting
13,my
14,time
15,adding
16,scars
17,my
18,heart
19,cause
20,i
21,hear
22,i'm
23,ready
24,enough
25,i
26,tell
27,you
28,face
29,your
30,mother
31,losing
32,her
33,lover
34,without
35,saying
36,goodbye
37,without
38,saying
39,goodbye
40,cause
41,she
42,time
43,i
44,want
45,judge
46,what's
47,your
48,heart
49,you're
50,ready
51,love
52,you
53,ready
54,life
55,you
56,ready
57,life
58,let's
59,love
60,fully
61,let's
62,love
63,loud
64,let's
65,love
66,cause
67,soon
68,enough
69,we'll
70,die
71,cause
72,soon
73,enough
74,we'll
75,die
76,cause
77,soon
78,enough
79,we'll
80,die
81,cause
82,soon
83,enough
84,we'll
85,die
86,cause
87,soon
88,enough
89,we'll
90,die
91,cause
92,soon
93,enough
94,we'll
95,die
