,Weak_SWV
0,know
1,done
2,caused
3,act
4,crazy
5,way
6,whatever
7,feeling
8,want
9,stay
10,pre-chorus
11,'cause
12,heart
13,starts
14,beating
15,triple
16,time
17,thoughts
18,loving
19,mind
20,can't
21,figure
22,cause
23,cure
24,get
25,weak
26,knees
27,hardly
28,speak
29,lose
30,control
31,something
32,takes
33,control
34,takes
35,daze
36,amazing
37,amaze
38,phase
39,want
40,stay
41,stay
42,side
43,swallow
44,pride
45,pride
46,love
47,sweet
48,knocks
49,right
50,feet
51,can't
52,explain
53,love
54,makes
55,weak
56,time
57,time
58,time
59,try
60,fight
61,love
62,strong
63,keeps
64,holding
65,resistance
66,around
67,cries
68,fading
69,condition
70,want
71,alone
72,pre-chorus
73,'cause
74,heart
75,starts
76,beating
77,triple
78,time
79,thoughts
80,loving
81,mind
82,can't
83,figure
84,cause
85,cure
86,ohh
87,get
88,weak
89,knees
90,hardly
91,speak
92,lose
93,control
94,something
95,takes
96,control
97,takes
98,daze
99,amazing
100,amaze
101,phase
102,want
103,stay
104,stay
105,side
106,swallow
107,pride
108,pride
109,love
110,sweet
111,knocks
112,right
113,feet
114,can't
115,explain
116,love
117,makes
118,weak
119,bridge
120,try
121,hard
122,fight
123,way
124,deny
125,love's
126,sweet
127,knocks
128,feet
129,get
130,weak
131,knees
132,hardly
133,speak
134,lose
135,control
136,something
137,takes
138,control
139,takes
140,daze
141,amazing
142,amaze
143,phase
144,want
145,stay
146,stay
147,side
148,swallow
149,pride
150,pride
151,love
152,sweet
153,knocks
154,right
155,feet
156,can't
157,explain
158,love
159,makes
160,weak
161,get
162,weak
163,blood
164,starts
165,racing
166,veins
167,get
168,weak
169,boy
170,something
171,can't
172,explain
173,get
174,weak
175,something
176,'bout
177,way
178,things
179,do-ooo-ooo
180,knocks
181,right
182,feet
183,ohh
184,feet
185,can't
186,explain
187,lovin'
188,makes
189,weak
190,get
191,weak
192,knees
193,hardly
194,speak
195,lose
196,control
197,something
198,takes
199,control
200,takes
201,daze
202,amazing
203,amazing
204,phase
205,want
206,stay
207,stay
208,side
209,swallow
210,pride
211,pride
212,love
213,sweet
214,knocks
215,right
216,feet
217,ohh
218,can't
219,explain
220,love
221,makes
222,weak
