,Wild Is the Wind_David Bowie
0,love
1,me
2,love
3,me
4,love
5,me
6,love
7,me
8,say
9,you
10,let
11,me
12,fly
13,away
14,you
15,my
16,love
17,like
18,wind
19,wild
20,wind
21,wild
22,wind
23,give
24,me
25,one
26,caress
27,satisfy
28,hungriness
29,let
30,wind
31,blow
32,your
33,heart
34,wild
35,wind
36,wild
37,wind
38,you
39,touch
40,me
41,i
42,hear
43,sound
44,mandolins
45,you
46,kiss
47,me
48,your
49,kiss
50,my
51,life
52,begins
53,you're
54,spring
55,me
56,things
57,me
58,you
59,know
60,you're
61,life
62,like
63,leaf
64,clings
65,tree
66,oh
67,my
68,darling
69,cling
70,me
71,we're
72,like
73,creatures
74,wind
75,wild
76,wind
77,wild
78,wind
79,you
80,touch
81,me
82,i
83,hear
84,sound
85,mandolins
86,you
87,kiss
88,me
89,your
90,kiss
91,my
92,life
93,begins
94,you're
95,spring
96,me
97,things
98,me
99,you
100,know
101,you're
102,life
103,like
104,leaf
105,clings
106,tree
107,oh
108,my
109,darling
110,cling
111,me
112,we're
113,like
114,creatures
115,wind
116,wild
117,wind
118,wild
119,wind
120,wild
121,wind
122,wild
123,wind
124,wild
125,wind
