,After Tonight_Justin Nozuka
0,there's
1,something
2,your
3,eyes
4,everything
5,alright
6,you
7,look
8,sky
9,you
10,long
11,something
12,darlin'
13,give
14,me
15,your
16,right
17,hand
18,i
19,think
20,i
21,understand
22,follow
23,me
24,you
25,never
26,wish
27,i
28,know
29,tonight
30,you
31,look
32,stars
33,i
34,know
35,end
36,tonight
37,you
38,look
39,stars
40,i
41,know
42,love
43,alright
44,you
45,look
46,stars
47,i
48,know
49,end
50,tonight
51,you
52,look
53,stars
54,tell
55,me
56,you
57,feel
58,i'm
59,getting
60,near
61,i'll
62,tell
63,you
64,steer
65,you
66,tell
67,me
68,steer
69,ddddarlin'
70,way
71,clouds
72,high
73,stars
74,unknown
75,black
76,holes
77,one
78,knows
79,we'll
80,return
81,earth
82,cause
83,i
84,know
85,tonight
86,you
87,look
88,stars
89,i
90,know
91,end
92,tonight
93,you
94,look
95,stars
96,i
97,know
98,love
99,alright
100,you
101,look
102,stars
103,i
104,know
105,end
106,tonight
107,you
108,look
109,stars
110,come
111,away
112,me
113,come
114,fly
115,away
116,me
117,one
118,night
119,one
120,ever
121,know
122,darlin'
123,i
124,leave
125,you
126,satisfied
127,forever
128,past
129,time
130,you
131,hide
132,you're
133,free
134,fly
135,i
136,know
137,tonight
138,you
139,look
140,stars
141,i
142,know
143,end
144,tonight
145,you
146,look
147,stars
148,i
149,know
150,love
151,alright
152,you
153,look
154,stars
155,i
156,know
157,end
158,tonight
159,you
160,look
161,stars
162,said
163,i
164,know
165,tonight
166,you
167,look
168,stars
169,i
170,know
171,end
172,tonight
173,you
174,look
175,stars
176,i
177,know
178,love
179,alright
180,you
181,look
182,stars
183,i
184,know
185,end
186,tonight
187,you'll
188,looking
189,upon
190,heaven
