,At Last_Etta James
0,i
1,never
2,spellbound
3,starry
4,sky
5,moon
6,glow
7,love
8,passed
9,you
10,came
11,midnight
12,world
13,new
14,i
15,spellbound
16,darling
17,stars
18,you
19,last
20,my
21,love
22,come
23,along
24,my
25,lonely
26,days
27,life
28,like
29,song
30,last
31,skies
32,blue
33,my
34,heart
35,wrapped
36,clover
37,night
38,i
39,looked
40,you
41,i
42,found
43,dream
44,i
45,speak
46,dream
47,i
48,call
49,my
50,i
51,found
52,thrill
53,press
54,my
55,cheek
56,thrill
57,i've
58,never
59,known
60,you
61,smiled
62,spell
63,cast
64,heaven
65,you
66,mine
67,last
68,last
69,my
70,love
71,come
72,along
73,my
74,lonely
75,days
76,life
77,like
78,song
79,last
80,skies
81,blue
82,my
83,heart
84,wrapped
85,clover
86,night
87,i
88,looked
89,you
90,i
91,found
92,dream
93,i
94,speak
95,dream
96,i
97,call
98,my
99,i
100,found
101,thrill
102,press
103,my
104,cheek
105,thrill
106,i've
107,never
108,known
109,you
110,smiled
111,spell
112,cast
113,heaven
