,Run_Leona Lewis
0,i'll
1,sing
2,one
3,last
4,time
5,you
6,really
7,go
8,you've
9,thing
10,that's
11,right
12,i've
13,done
14,i
15,barely
16,look
17,you
18,every
19,single
20,time
21,i
22,i
23,know
24,we'll
25,make
26,anywhere
27,away
28,light
29,light
30,you
31,choice
32,even
33,you
34,cannot
35,hear
36,my
37,voice
38,i'll
39,right
40,beside
41,you
42,dear
43,louder
44,louder
45,we'll
46,run
47,lives
48,i
49,hardly
50,speak
51,i
52,understand
53,you
54,can't
55,raise
56,your
57,voice
58,say
59,think
60,i
61,might
62,see
63,eyes
64,makes
65,hard
66,cry
67,say
68,long
69,goodbye
70,i
71,nearly
72,light
73,light
74,you
75,choice
76,even
77,you
78,cannot
79,hear
80,my
81,voice
82,i'll
83,right
84,beside
85,you
86,dear
87,louder
88,louder
89,we'll
90,run
91,lives
92,i
93,hardly
94,speak
95,i
96,understand
97,you
98,can't
99,raise
100,your
101,voice
102,say
103,light
104,light
105,you
106,choice
107,even
108,you
109,cannot
110,hear
111,my
112,voice
113,i'll
114,right
115,beside
116,you
117,dear
118,louder
119,louder
120,we'll
121,run
122,lives
123,i
124,hardly
125,speak
126,i
127,understand
128,you
129,can't
130,raise
131,your
132,voice
133,say
