,Cigarette Daydreams_Cage the Elephant
0,stand
1,alone
2,oh
3,cannot
4,explain
5,what's
6,going
7,see
8,standing
9,next
10,somewhere
11,else
12,right
13,sigh
14,look
15,away
16,see
17,clear
18,day
19,close
20,eyes
21,afraid
22,hide
23,behind
24,babyface
25,pre-chorus
26,do-do-do
27,do-do-do
28,drive
29,night
30,looking
31,answers
32,pouring
33,rain
34,wanna
35,find
36,peace
37,mind
38,looking
39,answer
40,funny
41,seems
42,like
43,yesterday
44,recall
45,looking
46,place
47,gathered
48,things
49,slipped
50,away
51,time
52,followed
53,hall
54,cigarette
55,daydream
56,seventeen
57,soft
58,speak
59,mean
60,streak
61,nearly
62,brought
63,knees
64,pre-chorus
65,do-do-do
66,do-do-do
67,drive
68,night
69,looking
70,answers
71,pouring
72,rain
73,wanna
74,find
75,peace
76,mind
77,looking
78,answers
79,find
80,reason
81,reason
82,change
83,looking
84,answers
85,find
86,reason
87,reason
88,stay
89,standing
90,pouring
91,rain
92,bridge
93,do-do
94,do-do-do
95,do-do
96,do-di-do-do
97,do-do
98,do-do-do
99,do-do
100,do-di-do-do
101,drive
102,night
103,looking
104,answers
105,pouring
106,rain
107,wanna
108,find
109,peace
110,mind
111,looking
112,answers
113,find
114,reason
115,reason
116,change
117,looking
118,answers
119,find
120,reason
121,reason
122,stay
123,standing
124,pouring
125,rain
