,The Warmth_Incubus
0,i'd
1,like
2,close
3,eyes
4,go
5,numb
6,there's
7,cold
8,wind
9,coming
10,top
11,highest
12,high-rise
13,today
14,breeze
15,cause
16,blows
17,hard
18,yes
19,wants
20,discard
21,humanity
22,know
23,watch
24,warmth
25,blow
26,away
27,let
28,world
29,bring
30,everyone
31,fucked
32,cold
33,remember
34,came
35,alive
36,experience
37,warmth
38,grow
39,old
40,think
41,adhere
42,pressing
43,new
44,frontier
45,leave
46,wake
47,trail
48,fear
49,hold
50,head
51,high
52,throw
53,wrench
54,spokes
55,leaving
56,air
57,behind
58,clear
59,let
60,world
61,bring
62,everyone
63,fucked
64,cold
65,remember
66,came
67,alive
68,experience
69,warmth
70,grow
71,old
72,let
73,world
74,bring
75,everyone
76,fucked
77,cold
78,remember
79,came
80,alive
81,experience
82,warmth
83,grow
84,old
85,outro
86,grow
87,old
88,go
89,go
90,go
91,go
