,She Says_Howie Day
0,sweet
1,sight
2,her
3,room
4,window
5,open
6,candle
7,light
8,would
9,you
10,know
11,cold
12,winter
13,shore
14,chills
15,dress
16,she
17,wore
18,floor
19,still
20,feels
21,warm
22,today
23,that's
24,i'm
25,wondering
26,you
27,tell
28,me
29,what's
30,going
31,your
32,head
33,what's
34,wrong
35,come
36,around
37,another
38,time
39,you
40,run
41,she
42,says
43,she
44,wants
45,somebody
46,else
47,i
48,hope
49,you
50,know
51,she
52,mean
53,you
54,she
55,breaks
56,makes
57,sound
58,you
59,never
60,hear
61,her
62,way
63,i
64,she
65,says
66,she
67,wants
68,someone
69,love
70,i
71,hope
72,you
73,know
74,she
75,mean
76,you
77,she
78,breaks
79,let's
80,you
81,i
82,hope
83,you
84,know
85,she
86,mean
87,you
88,swing
89,flight
90,hills
91,her
92,hills
93,twilight
94,yeah
95,i
96,guess
97,that's
98,right
99,we're
100,tell
101,me
102,funny
103,you're
104,funny
105,you're
106,mad
107,cause
108,mad
109,mad
110,thats
111,i'm
112,wondering
113,you
114,tell
115,me
116,what's
117,going
118,your
119,head
120,what's
121,wrong
122,come
123,around
124,another
125,time
126,you
127,run
128,she
129,says
130,she
131,wants
132,somebody
133,else
134,i
135,hope
136,you
137,know
138,she
139,mean
140,you
141,she
142,breaks
143,makes
144,sound
145,you
146,never
147,hear
148,her
149,way
150,i
151,she
152,says
153,she
154,wants
155,someone
156,love
157,i
158,hope
159,you
160,know
161,she
162,mean
163,you
164,she
165,breaks
166,let's
167,you
168,i
169,hope
170,you
171,know
172,she
173,mean
174,you
175,i
176,know
177,you're
178,coming
179,i
180,know
181,you're
182,coming
183,i
184,know
185,means
186,me
187,you
188,know
189,means
190,you
191,she
192,mean
193,you
