,A Thousand Years_Christina Perri
0,heart
1,beats
2,fast
3,colors
4,promises
5,brave
6,love
7,i'm
8,afraid
9,fall
10,watching
11,stand
12,alone
13,doubt
14,suddenly
15,goes
16,away
17,somehow
18,one
19,step
20,closer
21,died
22,every
23,day
24,waiting
25,darling
26,afraid
27,loved
28,thousand
29,years
30,i'll
31,love
32,thousand
33,time
34,stands
35,still
36,beauty
37,brave
38,let
39,anything
40,take
41,away
42,what's
43,standing
44,front
45,every
46,breath
47,every
48,hour
49,come
50,one
51,step
52,closer
53,died
54,every
55,day
56,waiting
57,darling
58,afraid
59,loved
60,thousand
61,years
62,i'll
63,love
64,thousand
65,bridge
66,along
67,believed
68,would
69,find
70,time
71,brought
72,heart
73,loved
74,thousand
75,years
76,i'll
77,love
78,thousand
79,one
80,step
81,closer
82,one
83,step
84,closer
85,died
86,every
87,day
88,waiting
89,darling
90,afraid
91,loved
92,thousand
93,years
94,i'll
95,love
96,thousand
97,outro
98,along
99,believed
100,would
101,find
102,time
103,brought
104,heart
105,loved
106,thousand
107,years
108,i'll
109,love
110,thousand
