,Do You Want to Know a Secret_The Beatles
0,never
1,know
2,much
3,really
4,love
5,never
6,know
7,much
8,really
9,care
10,listen
11,want
12,know
13,secret
14,promise
15,tell
16,whoa
17,oh
18,oh
19,closer
20,let
21,whisper
22,ear
23,say
24,words
25,long
26,hear
27,i'm
28,love
29,ooh
30,listen
31,da
32,want
33,know
34,secret
35,da
36,promise
37,tell
38,da
39,whoa
40,oh
41,oh
42,closer
43,da
44,let
45,whisper
46,ear
47,da
48,say
49,words
50,long
51,hear
52,da
53,i'm
54,love
55,ooh
56,bridge
57,i've
58,known
59,secret
60,week
61,two
62,nobody
63,knows
64,two
65,listen
66,da
67,want
68,know
69,secret
70,da
71,promise
72,tell
73,da
74,whoa
75,oh
76,oh
77,closer
78,da
79,let
80,whisper
81,ear
82,da
83,say
84,words
85,long
86,hear
87,da
88,i'm
89,love
90,ooh
91,ooh
