,Unravel_Björk
0,you
1,away
2,my
3,heart
4,comes
5,undone
6,slowly
7,unravels
8,ball
9,yarn
10,prechorus
11,devil
12,collects
13,grin
14,love
15,ball
16,yarn
17,he'll
18,never
19,return
20,you
21,come
22,back
23,we'll
24,make
25,new
26,love
27,he'll
28,never
29,return
30,you
31,come
32,back
33,we'll
34,make
35,new
36,love
37,you
38,away
39,my
40,heart
41,comes
42,undone
43,slowly
44,unravels
45,ball
46,yarn
47,prechorus
48,devil
49,collects
50,grin
51,love
52,love
53,ball
54,yarn
55,he'll
56,never
57,return
58,you
59,come
60,back
61,we'll
62,make
63,new
64,love
65,he'll
66,never
67,return
68,you
69,come
70,back
71,we'll
72,make
73,new
74,love
75,he'll
76,never
77,return
78,you
79,come
80,back
81,we'll
82,make
83,new
84,love
85,he'll
86,never
87,return
88,you
89,come
90,back
91,we'll
92,make
93,new
94,love
