,Never Say Goodbye_Bon Jovi
0,sit
1,smokey
2,room
3,night
4,end
5,pass
6,time
7,strangers
8,bottle's
9,friend
10,remember
11,used
12,park
13,butler
14,street
15,dark
16,remember
17,lost
18,keys
19,lost
20,backseat
21,baby
22,remember
23,used
24,talk
25,busting
26,-
27,we'd
28,break
29,hearts
30,together
31,-
32,forever
33,never
34,say
35,goodbye
36,never
37,say
38,goodbye
39,old
40,friends
41,hoping
42,would
43,never
44,end
45,say
46,goodbye
47,never
48,say
49,goodbye
50,holdin'
51,-
52,got
53,try
54,holdin'
55,never
56,say
57,goodbye
58,remember
59,days
60,skipping
61,school
62,racing
63,cars
64,cool
65,six
66,pack
67,radio
68,need
69,place
70,go
71,remember
72,prom
73,night
74,fight
75,band
76,played
77,favorite
78,song
79,held
80,arms
81,strong
82,danced
83,close
84,danced
85,slow
86,swore
87,i'd
88,never
89,let
90,go
91,together
92,-
93,forever
94,never
95,say
96,goodbye
97,never
98,say
99,goodbye
100,old
101,friends
102,hoping
103,would
104,never
105,end
106,say
107,goodbye
108,never
109,say
110,goodbye
111,holdin'
112,-
113,got
114,try
115,holdin'
116,never
117,say
118,goodbye
119,guess
120,say
121,used
122,talk
123,busting
124,we'd
125,break
126,hearts
127,together
128,-
129,forever
130,never
131,say
132,goodbye
133,never
134,say
135,goodbye
136,old
137,friends
138,hoping
139,would
140,never
141,end
142,say
143,goodbye
144,never
145,say
146,goodbye
147,holdin'
148,-
149,got
150,try
151,holdin'
152,never
153,say
154,goodbye
155,yeah
156,yeah
