,All Out of Love_Air Supply
0,i'm
1,lying
2,alone
3,my
4,head
5,phone
6,thinking
7,you
8,till
9,hurts
10,i
11,know
12,you're
13,hurt
14,else
15,tormented
16,torn
17,apart
18,i
19,wish
20,i
21,could
22,carry
23,your
24,smile
25,my
26,heart
27,times
28,my
29,life
30,seems
31,low
32,would
33,make
34,me
35,believe
36,tomorrow
37,could
38,bring
39,today
40,really
41,know
42,really
43,know
44,i'm
45,love
46,i'm
47,lost
48,without
49,you
50,i
51,know
52,you
53,right
54,believing
55,long
56,i'm
57,love
58,i
59,without
60,you
61,i
62,can't
63,late
64,say
65,i
66,wrong
67,i
68,want
69,you
70,come
71,back
72,carry
73,me
74,home
75,away
76,long
77,lonely
78,nights
79,i'm
80,reaching
81,you
82,you
83,feeling
84,feeling
85,seem
86,oh
87,right
88,would
89,you
90,say
91,i
92,called
93,you
94,said
95,i
96,can't
97,hold
98,there's
99,easy
100,way
101,gets
102,harder
103,day
104,please
105,love
106,me
107,i'll
108,gone
109,i'll
110,gone
111,i'm
112,love
113,i'm
114,lost
115,without
116,you
117,i
118,know
119,you
120,right
121,believing
122,long
123,i'm
124,love
125,i
126,without
127,you
128,i
129,can't
130,late
131,say
132,i
133,wrong
134,oh
135,you
136,thinking
137,you
138,thinking
139,you
140,thinking
141,you
142,thinking
143,i'm
144,love
145,i'm
146,lost
147,without
148,you
149,i
150,know
151,you
152,right
153,believing
154,long
155,i'm
156,love
157,i
158,without
159,you
160,i
161,can't
162,late
163,i
164,know
165,i
166,wrong
167,i'm
168,love
169,i'm
170,lost
171,without
172,you
173,i
174,know
175,you
176,right
177,believing
178,long
179,i'm
180,love
181,i
182,without
183,you
184,i
185,can't
186,late
187,i
188,know
189,i
190,wrong
191,i'm
192,love
193,i'm
194,lost
195,without
196,you
197,i
198,know
199,you
200,right
201,believing
202,long
203,i'm
204,love
205,i
206,without
207,you
208,i
209,can't
210,late
211,say
212,i
213,wrong
