,Amazed_Lonestar
0,every
1,time
2,eyes
3,meet
4,feeling
5,inside
6,me
7,almost
8,i
9,take
10,baby
11,you
12,touch
13,me
14,i
15,feel
16,much
17,you
18,love
19,me
20,blows
21,me
22,away
23,prechorus
24,i've
25,never
26,close
27,anyone
28,anything
29,i
30,hear
31,your
32,thoughts
33,i
34,see
35,your
36,dreams
37,i
38,know
39,you
40,you
41,i'm
42,love
43,you
44,keeps
45,getting
46,better
47,i
48,want
49,spend
50,rest
51,my
52,life
53,you
54,my
55,side
56,forever
57,ever
58,every
59,little
60,thing
61,you
62,baby
63,i'm
64,amazed
65,you
66,smell
67,your
68,skin
69,taste
70,your
71,kiss
72,way
73,you
74,whisper
75,dark
76,your
77,hair
78,around
79,me
80,baby
81,you
82,surround
83,me
84,you
85,touch
86,every
87,place
88,my
89,heart
90,prechorus
91,oh
92,feels
93,like
94,first
95,time
96,every
97,time
98,i
99,want
100,spend
101,whole
102,night
103,your
104,eyes
105,i
106,know
107,you
108,you
109,i'm
110,love
111,you
112,keeps
113,getting
114,better
115,i
116,want
117,spend
118,rest
119,my
120,life
121,you
122,my
123,side
124,forever
125,ever
126,every
127,little
128,thing
129,you
130,baby
131,i'm
132,amazed
133,you
134,guitar
135,solo
136,every
137,little
138,thing
139,you
140,i'm
141,love
142,you
143,keeps
144,getting
145,better
146,i
147,wanna
148,spend
149,rest
150,my
151,life
152,you
153,my
154,side
155,forever
156,ever
157,every
158,little
159,thing
160,you
161,every
162,little
163,thing
164,you
165,every
166,little
167,thing
168,you
169,baby
170,i'm
171,amazed
172,you
