,The Closest Thing to Crazy_Katie Melua
0,i
1,think
2,i'm
3,standing
4,strong
5,yet
6,feel
7,air
8,beneath
9,my
10,feet
11,happiness
12,feel
13,wrong
14,misery
15,feel
16,sweet
17,you
18,let
19,me
20,watch
21,you
22,sleep
23,break
24,my
25,dreams
26,way
27,you
28,i
29,got
30,deep
31,i
32,fall
33,love
34,you
35,closest
36,thing
37,crazy
38,i
39,ever
40,feeling
41,twentytwo
42,acting
43,seventeen
44,nearest
45,thing
46,crazy
47,i
48,ever
49,known
50,i
51,never
52,crazy
53,my
54,i
55,know
56,there's
57,link
58,two
59,close
60,craziness
61,close
62,you
63,you
64,make
65,me
66,fall
67,apart
68,break
69,my
70,fall
71,loving
72,lies
73,easy
74,break
75,heart
76,easy
77,close
78,your
79,eyes
80,you
81,treat
82,me
83,like
84,child
85,yet
86,like
87,child
88,i
89,yearn
90,you
91,anyone
92,feel
93,wild
94,anyone
95,feel
96,blue
