,Iris_Goo Goo Dolls
0,i'd
1,give
2,forever
3,touch
4,you
5,'cause
6,i
7,know
8,you
9,feel
10,me
11,somehow
12,you're
13,closest
14,heaven
15,i'll
16,ever
17,i
18,wanna
19,go
20,home
21,right
22,i
23,taste
24,moment
25,i
26,breathe
27,your
28,life
29,sooner
30,later
31,i
32,wanna
33,miss
34,you
35,tonight
36,i
37,want
38,world
39,see
40,me
41,'cause
42,i
43,think
44,they'd
45,understand
46,everything's
47,made
48,broken
49,i
50,want
51,you
52,know
53,i
54,you
55,can't
56,fight
57,tears
58,ain't
59,coming
60,moment
61,truth
62,your
63,lies
64,everything
65,feels
66,like
67,movies
68,yeah
69,you
70,bleed
71,know
72,you're
73,alive
74,i
75,want
76,world
77,see
78,me
79,'cause
80,i
81,think
82,they'd
83,understand
84,everything's
85,made
86,broken
87,i
88,want
89,you
90,know
91,i
92,instrumental
93,i
94,want
95,world
96,see
97,me
98,'cause
99,i
100,think
101,they'd
102,understand
103,everything's
104,made
105,broken
106,i
107,want
108,you
109,know
110,i
111,i
112,want
113,world
114,see
115,me
116,'cause
117,i
118,think
119,they'd
120,understand
121,everything's
122,made
123,broken
124,i
125,want
126,you
127,know
128,i
129,i
130,want
131,you
132,know
133,i
134,i
135,want
136,you
137,know
138,i
139,i
140,want
141,you
142,know
143,i
