,Friday I'm in Love_The Cure
0,care
1,monday's
2,blue
3,tuesday's
4,grey
5,wednesday
6,thursday
7,care
8,friday
9,i'm
10,love
11,monday
12,fall
13,apart
14,tuesday
15,wednesday
16,break
17,heart
18,oh
19,thursday
20,even
21,start
22,friday
23,i'm
24,love
25,saturday
26,wait
27,sunday
28,always
29,comes
30,late
31,friday
32,never
33,hesitate
34,care
35,monday's
36,black
37,tuesday
38,wednesday
39,heart
40,attack
41,thursday
42,never
43,looking
44,back
45,friday
46,i'm
47,love
48,monday
49,hold
50,head
51,tuesday
52,wednesday
53,stay
54,bed
55,thursday
56,watch
57,walls
58,instead
59,friday
60,i'm
61,love
62,saturday
63,wait
64,sunday
65,always
66,comes
67,late
68,friday
69,never
70,hesitate
71,bridge
72,dressed
73,eyes
74,wonderful
75,surprise
76,see
77,shoes
78,spirits
79,rise
80,throwing
81,frown
82,smiling
83,sound
84,sleek
85,shriek
86,spinning
87,round
88,round
89,always
90,take
91,big
92,bite
93,gorgeous
94,sight
95,see
96,eat
97,middle
98,night
99,never
100,get
101,enough
102,enough
103,stuff
104,friday
105,i'm
106,love
107,care
108,monday's
109,blue
110,tuesday's
111,grey
112,wednesday
113,thursday
114,care
115,friday
116,i'm
117,love
118,monday
119,fall
120,apart
121,tuesday
122,wednesday
123,break
124,heart
125,thursday
126,even
127,start
128,friday
129,i'm
130,love
