,Walk Away_Ben Harper
0,oh
1,comes
2,sun
3,means
4,another
5,day
6,without
7,friend
8,hurts
9,look
10,mirror
11,hurts
12,even
13,somebody
14,else
15,hard
16,easy
17,say
18,sometimes
19,sometimes
20,walk
21,away
22,walk
23,away
24,many
25,people
26,love
27,life
28,worry
29,one
30,put
31,happy
32,ness
33,put
34,good
35,times
36,fun
37,hard
38,easy
39,say
40,sometimes
41,sometimes
42,walk
43,away
44,walk
45,away
46,head
47,door
48,we've
49,tried
50,goodbyes
51,many
52,days
53,walk
54,direction
55,could
56,never
57,stray
58,say
59,love
60,somebody
61,got
62,set
63,free
64,would
65,rather
66,locked
67,live
68,pain
69,misery
70,say
71,time
72,make
73,go
74,away
75,time
76,taken
77,tomorrows
78,turned
79,yesterdays
80,rising
81,sun
82,droppin
83,friend
84,found
85,hard
86,easy
87,say
88,sometimes
89,sometimes
90,walk
91,away
92,walk
93,away
94,head
95,door
96,walk
97,away
98,walk
99,away
100,walk
101,away
102,walk
103,walk
104,turn
105,head
106,door
107,walk
108,away
