,Shape Of My Heart_Sting
0,deals
1,cards
2,meditation
3,plays
4,never
5,suspect
6,play
7,money
8,wins
9,play
10,respect
11,deals
12,cards
13,find
14,answer
15,sacred
16,geometry
17,chance
18,hidden
19,law
20,probable
21,outcome
22,numbers
23,lead
24,dance
25,know
26,spades
27,swords
28,soldier
29,know
30,clubs
31,weapons
32,war
33,know
34,diamonds
35,mean
36,money
37,art
38,that's
39,shape
40,heart
41,may
42,play
43,jack
44,diamonds
45,may
46,lay
47,queen
48,spades
49,may
50,conceal
51,king
52,hand
53,memory
54,fades
55,know
56,spades
57,swords
58,soldier
59,know
60,clubs
61,weapons
62,war
63,know
64,diamonds
65,mean
66,money
67,art
68,that's
69,shape
70,heart
71,bridge
72,that's
73,shape
74,shape
75,heart
76,​​harmonica
77,solo​​
78,told
79,loved
80,maybe
81,think
82,there's
83,something
84,wrong
85,i'm
86,man
87,many
88,faces
89,mask
90,wear
91,one
92,speak
93,know
94,nothing
95,find
96,cost
97,like
98,curse
99,luck
100,many
101,places
102,fear
103,lost
104,know
105,spades
106,swords
107,soldier
108,know
109,clubs
110,weapons
111,war
112,know
113,diamonds
114,mean
115,money
116,art
117,that's
118,shape
119,heart
120,outro
121,that's
122,shape
123,heart
124,that's
125,shape
126,shape
127,heart
