,The One I Love_R.E.M.
0,instrumental
1,one
2,goes
3,one
4,i
5,love
6,one
7,goes
8,one
9,i've
10,left
11,behind
12,simple
13,prop
14,occupy
15,my
16,time
17,one
18,goes
19,one
20,i
21,love
22,fire
23,fire
24,one
25,goes
26,one
27,i
28,love
29,one
30,goes
31,one
32,i've
33,left
34,behind
35,simple
36,prop
37,occupy
38,my
39,time
40,one
41,goes
42,one
43,i
44,love
45,love
46,fire
47,comin'
48,her
49,fire
50,comin'
51,her
52,solo
53,one
54,goes
55,one
56,i
57,love
58,love
59,one
60,goes
61,one
62,i've
63,left
64,behind
65,another
66,prop
67,occupied
68,my
69,time
70,one
71,goes
72,one
73,i
74,love
75,love
76,fire
77,comin'
78,her
79,fire
80,comin'
81,her
82,fire
83,comin'
84,her
85,fire
86,comin'
87,her
