,Right Here Waiting_Richard Marx
0,oceans
1,apart
2,day
3,day
4,slowly
5,go
6,insane
7,hear
8,voice
9,line
10,stop
11,pain
12,prechorus
13,see
14,next
15,never
16,say
17,forever
18,wherever
19,go
20,whatever
21,right
22,waiting
23,whatever
24,takes
25,heart
26,breaks
27,right
28,waiting
29,took
30,granted
31,times
32,thought
33,would
34,last
35,somehow
36,hear
37,laughter
38,taste
39,tears
40,can't
41,get
42,near
43,prechorus
44,oh
45,can't
46,see
47,baby
48,got
49,going
50,crazy
51,wherever
52,go
53,whatever
54,right
55,waiting
56,whatever
57,takes
58,heart
59,breaks
60,right
61,waiting
62,wonder
63,survive
64,romance
65,end
66,i'm
67,i'll
68,take
69,chance
70,prechorus
71,oh
72,can't
73,see
74,baby
75,got
76,going
77,crazy
78,wherever
79,go
80,whatever
81,right
82,waiting
83,whatever
84,takes
85,heart
86,breaks
87,right
88,waiting
89,waiting
